C_726.jpg: uiqm=0.9322861624443173, uciqe=0.5283418765559554
D_026.jpg: uiqm=0.7550568890195614, uciqe=0.5138653902736801
D_053.jpg: uiqm=0.9832300118227806, uciqe=0.5536100971628637
D_088.jpg: uiqm=0.8836690037385957, uciqe=0.45272247463916016
D_110.jpg: uiqm=0.8979355340851363, uciqe=0.5787422756677831
D_151.jpg: uiqm=0.9560331652726279, uciqe=0.5623405634789586
D_159.jpg: uiqm=1.069332771200702, uciqe=0.5756614767604928
D_187.jpg: uiqm=0.7996399339213042, uciqe=0.573246422277645
D_208.jpg: uiqm=0.5747207755269393, uciqe=0.5280676028377799
D_249.jpg: uiqm=0.6772069738632879, uciqe=0.5462930354301598
D_263.jpg: uiqm=1.1911814394640028, uciqe=0.5401307628248387
D_285.jpg: uiqm=1.290161666152923, uciqe=0.45296885298214384
D_306.jpg: uiqm=1.0816161992013784, uciqe=0.49904385099200144
D_347.jpg: uiqm=0.597586260413181, uciqe=0.580626456074709
D_361.jpg: uiqm=1.1162537682150622, uciqe=0.5651078360815877
D_383.jpg: uiqm=0.6968475376247448, uciqe=0.5435097810640253
D_404.jpg: uiqm=0.9119384485637292, uciqe=0.5312239782068453
D_445.jpg: uiqm=0.8492199206764088, uciqe=0.5261405914897528
D_459.jpg: uiqm=1.3079604255622455, uciqe=0.42673806999584196
D_494.jpg: uiqm=1.007191881487198, uciqe=0.5600874815980813
D_502.jpg: uiqm=1.1549651310758071, uciqe=0.4954334109384245
D_551.jpg: uiqm=1.0673011397124115, uciqe=0.5070328316738923
D_557.jpg: uiqm=0.9089916911765353, uciqe=0.5143641958845693
D_592.jpg: uiqm=0.28997104852834343, uciqe=0.5468248249281541
D_606.jpg: uiqm=0.9492941262606961, uciqe=0.5828886796812005
D_628.jpg: uiqm=1.3041023877909494, uciqe=0.5409126649611727
D_649.jpg: uiqm=0.7190310065551024, uciqe=0.5369404380326847
D_663.jpg: uiqm=1.0398067425843096, uciqe=0.5148496106387495
D_690.jpg: uiqm=0.9638442555240229, uciqe=0.4542749542039024
D_704.jpg: uiqm=0.8419220822478682, uciqe=0.5492065354312511
D_726.jpg: uiqm=0.5661296301718414, uciqe=0.5845967606014172
E_012.jpg: uiqm=0.7625856371071017, uciqe=0.511341534873344
E_026.jpg: uiqm=0.3753616441543227, uciqe=0.5644956820378182
E_053.jpg: uiqm=1.4681213548599192, uciqe=0.47705605399413586
E_088.jpg: uiqm=0.7554511072119865, uciqe=0.5440481458182873
E_110.jpg: uiqm=0.8800271211941019, uciqe=0.5466720874554652
E_151.jpg: uiqm=0.8052003639440315, uciqe=0.6132596249478495
E_159.jpg: uiqm=0.9653183555328855, uciqe=0.5696671833313806
E_187.jpg: uiqm=1.293770888995494, uciqe=0.5975142227879489
E_208.jpg: uiqm=1.100584568026561, uciqe=0.5405050585881342
E_249.jpg: uiqm=0.9966317236023972, uciqe=0.53281418746349
E_263.jpg: uiqm=1.1155057039269, uciqe=0.49490178768289783
E_285.jpg: uiqm=1.6629337910804194, uciqe=0.49432392372071243
E_306.jpg: uiqm=0.9548029261570576, uciqe=0.6099714444137914
E_347.jpg: uiqm=1.2152086817488605, uciqe=0.4862415025325051
E_361.jpg: uiqm=1.1708323140147125, uciqe=0.5835181286710784
E_383.jpg: uiqm=1.008100727800901, uciqe=0.5514241203026133
E_404.jpg: uiqm=0.8469575721102861, uciqe=0.5538797317884293
E_445.jpg: uiqm=0.7337390812444965, uciqe=0.5807621648707774
E_459.jpg: uiqm=0.9862058277665979, uciqe=0.4684688007607117
E_494.jpg: uiqm=0.3057299192691326, uciqe=0.5923193329872851
E_502.jpg: uiqm=0.6657114771603887, uciqe=0.38962576240891145
E_551.jpg: uiqm=0.9287368985498593, uciqe=0.5553751299387897
E_592.jpg: uiqm=0.8974054009547588, uciqe=0.5614933653344154
E_606.jpg: uiqm=0.7976065632349771, uciqe=0.5766062987473938
E_628.jpg: uiqm=0.6896191944511285, uciqe=0.5067107570585468
E_649.jpg: uiqm=0.9511183855061215, uciqe=0.5464722859286719
E_663.jpg: uiqm=0.6459489006563847, uciqe=0.5257062066938076
E_690.jpg: uiqm=0.5633638291452705, uciqe=0.5596112077439511
E_704.jpg: uiqm=0.44585584380334164, uciqe=0.5354924389190382
E_726.jpg: uiqm=0.5705118268831106, uciqe=0.5652259962305204

Average: uiqm=1.0700097392118872, uciqe=0.531134797190047

