476_img_.png: NIQE=44.642116268483505  with dealing time: 57.291067123413086
48_img_.png: NIQE=40.06607566498472  with dealing time: 62.478299617767334
495_img_.png: NIQE=49.448308242519005  with dealing time: 56.43002247810364
4_img_.png: NIQE=38.53926938913221  with dealing time: 61.518288373947144
550_img_.png: NIQE=40.31170949350257  with dealing time: 61.898749351501465
557.png: NIQE=50.97348038457501  with dealing time: 60.464932918548584
55_img_.png: NIQE=40.87134880763356  with dealing time: 61.28209733963013
61_img_.png: NIQE=39.20803462058898  with dealing time: 66.79507684707642
629_img_.png: NIQE=41.336397741847435  with dealing time: 60.3319571018219
70_img_.png: NIQE=36.9406115985675  with dealing time: 62.426790714263916
747_img_.png: NIQE=37.900520035957065  with dealing time: 65.25650024414062
7_img_.png: NIQE=37.017006187437836  with dealing time: 66.51365399360657
849_img_.png: NIQE=37.86468032245838  with dealing time: 64.37286639213562
856_img_.png: NIQE=39.566846308401985  with dealing time: 59.253889083862305
8_img_.png: NIQE=38.00640382092444  with dealing time: 56.87961673736572
901_img_.png: NIQE=58.54496833686548  with dealing time: 55.64797258377075
906_img_.png: NIQE=43.86406972087959  with dealing time: 60.665367126464844
97_img_.png: NIQE=35.797606964693465  with dealing time: 56.04159951210022
9_img_.png: NIQE=40.21682526004651  with dealing time: 58.63554787635803

110 Image Average: NIQE=45.14784356954922, TimePerImage=74.34607888785276, SumTime = 8178.068677663803s

