100001.png: NIQE=47.87685917736706  with dealing time: 89.12905955314636
10091.png: NIQE=48.29752532734711  with dealing time: 89.47348833084106
10103.png: NIQE=40.28108582996373  with dealing time: 88.45159721374512
10167.png: NIQE=37.24708596819591  with dealing time: 90.14873790740967
102.png: NIQE=38.56490432099757  with dealing time: 90.92275261878967
10226.png: NIQE=49.81178587875331  with dealing time: 97.90150284767151
10475.png: NIQE=90.80853354676917  with dealing time: 81.39195537567139
10488.png: NIQE=83.155927646739  with dealing time: 83.73317456245422
12191.png: NIQE=66.86605873288153  with dealing time: 80.30005359649658
12203.png: NIQE=33.35527626636433  with dealing time: 88.13404965400696
12228.png: NIQE=41.22812460006912  with dealing time: 81.04359698295593
12565.png: NIQE=37.89162796134262  with dealing time: 87.16015386581421
12577.png: NIQE=41.49788567242779  with dealing time: 81.2968065738678
12625.png: NIQE=71.7328826823498  with dealing time: 75.13836598396301
12709.png: NIQE=114.69120249973594  with dealing time: 69.05515456199646
12753.png: NIQE=41.715407336503894  with dealing time: 87.21490025520325
12960.png: NIQE=44.2056087619693  with dealing time: 93.41766691207886
12972.png: NIQE=47.730615561061946  with dealing time: 91.97358512878418
13252.png: NIQE=46.1517163722028  with dealing time: 97.59255027770996
13259.png: NIQE=37.64778559949628  with dealing time: 85.63563179969788
15603.png: NIQE=43.267033380126904  with dealing time: 94.84715294837952
15735.png: NIQE=37.37700255326148  with dealing time: 89.21654343605042
15738.png: NIQE=39.200739416023175  with dealing time: 92.82830047607422
15740.png: NIQE=51.202980161945106  with dealing time: 91.00483560562134
15774.png: NIQE=48.07360543722644  with dealing time: 87.68105673789978
15775.png: NIQE=71.27307109991332  with dealing time: 86.72850465774536
2.png: NIQE=37.988101682673694  with dealing time: 89.63800477981567
2575.png: NIQE=42.11239945152807  with dealing time: 88.60992884635925
2583.png: NIQE=43.90482916787013  with dealing time: 88.53182196617126
2856.png: NIQE=41.395620252651156  with dealing time: 93.24791646003723
3027.png: NIQE=40.27012409796177  with dealing time: 92.74816465377808
3051.png: NIQE=42.332247918555225  with dealing time: 91.01101207733154
3087.png: NIQE=37.8278131570462  with dealing time: 79.92209005355835
3175.png: NIQE=51.55096232454184  with dealing time: 79.53933238983154
3201.png: NIQE=45.62940080609769  with dealing time: 82.94726085662842
3279.png: NIQE=39.586654098192255  with dealing time: 83.40158343315125
34.png: NIQE=40.188647105172016  with dealing time: 81.92438840866089
3494.png: NIQE=49.60447385638877  with dealing time: 81.44954705238342
3519.png: NIQE=58.06600297780045  with dealing time: 91.26372075080872
358_img_.png: NIQE=40.0099141741016  with dealing time: 88.92860007286072
432.png: NIQE=58.215637939491025  with dealing time: 84.17313623428345
5.png: NIQE=45.36131035283807  with dealing time: 89.62446022033691
52.png: NIQE=36.33590178913353  with dealing time: 83.04251742362976
579.png: NIQE=50.597974372312855  with dealing time: 86.59065437316895
605.png: NIQE=45.74932099913744  with dealing time: 88.70665979385376
616.png: NIQE=45.425573995655704  with dealing time: 80.33798503875732
627.png: NIQE=40.391049288193635  with dealing time: 93.43383622169495
6333.png: NIQE=56.8935515787914  with dealing time: 89.84239196777344
6340.png: NIQE=58.00828157296612  with dealing time: 91.2375602722168
643_img_.png: NIQE=37.78632608096254  with dealing time: 82.0831208229065
6527.png: NIQE=48.73309280920668  with dealing time: 79.19249248504639
7277.png: NIQE=36.47211891686383  with dealing time: 75.86201333999634
7291.png: NIQE=38.238344655163885  with dealing time: 79.59111905097961
770.png: NIQE=40.12618266221184  with dealing time: 82.12400317192078
866.png: NIQE=58.710742195455595  with dealing time: 71.88049292564392
880.png: NIQE=43.27172039883944  with dealing time: 79.0928852558136
9553.png: NIQE=43.38900663519936  with dealing time: 79.85898566246033
9602.png: NIQE=40.203324857040485  with dealing time: 83.44895553588867
9607.png: NIQE=39.09795011634409  with dealing time: 74.16930651664734
9618.png: NIQE=36.8085648954714  with dealing time: 67.83167505264282

60 Image Average: NIQE=47.690591649548246, TimePerImage=85.44514668385187, SumTime = 5126.708801031113s

