100001.png: uiqm=0.14029841928896314, uciqe=0.4963308778590644
10091.png: uiqm=0.6773580494427969, uciqe=0.5477788652546622
10103.png: uiqm=0.8506199145342002, uciqe=0.53112054946463
10167.png: uiqm=0.06151369129627926, uciqe=0.49733208162301135
102.png: uiqm=0.48206566087689795, uciqe=0.5020482474565087
10226.png: uiqm=0.22756924775793586, uciqe=0.47260063178715894
10475.png: uiqm=0.24236902659293702, uciqe=0.4886818486515282
10488.png: uiqm=0.03426220934512125, uciqe=0.5079109011270273
12191.png: uiqm=0.23537024333305734, uciqe=0.354624796287772
12203.png: uiqm=0.397267032728585, uciqe=0.5612915318563128
12228.png: uiqm=-0.7240303946627604, uciqe=0.26961202834754894
12565.png: uiqm=-0.09365117578369919, uciqe=0.33325986772485133
12577.png: uiqm=0.44190487459530214, uciqe=0.44512882653320035
12625.png: uiqm=-0.2265482076430526, uciqe=0.37548597999623823
12709.png: uiqm=-0.09587297115571014, uciqe=0.5951824147373845
12753.png: uiqm=-0.31805163041551193, uciqe=0.3889381101657659
12960.png: uiqm=0.5295158954929317, uciqe=0.496758768181347
12972.png: uiqm=0.42305086466708075, uciqe=0.5538710271798385
13252.png: uiqm=0.005351985681089744, uciqe=0.49867570420176555
13259.png: uiqm=0.5448161816396764, uciqe=0.5098073840048409
15603.png: uiqm=-0.18487925093848334, uciqe=0.3621838204183314
15735.png: uiqm=0.019234362613259337, uciqe=0.37675770798353014
15738.png: uiqm=0.08850358090807109, uciqe=0.4336890509243676
15740.png: uiqm=0.7013908132981864, uciqe=0.48546127239304615
15774.png: uiqm=0.8223528033265521, uciqe=0.5123249775903013
15775.png: uiqm=0.655797010061641, uciqe=0.4285982968687986
2.png: uiqm=0.9438383943073457, uciqe=0.4919170955125468
2575.png: uiqm=0.7339067444268293, uciqe=0.5379140447436775
2583.png: uiqm=0.5570559503526391, uciqe=0.5989470474016452
2856.png: uiqm=0.4025917117797966, uciqe=0.5134151244056738
3027.png: uiqm=0.6680978908184014, uciqe=0.5519905295156483
3051.png: uiqm=0.2944580589244489, uciqe=0.5256277422979126
3087.png: uiqm=1.0880360661980901, uciqe=0.5410588189161807
3175.png: uiqm=-0.11585286437378262, uciqe=0.5792331833415887
3201.png: uiqm=0.7476423579731047, uciqe=0.5328765455532342
3279.png: uiqm=0.3317115049934055, uciqe=0.4616000689919343
34.png: uiqm=0.6622467468996523, uciqe=0.6129999525517751
3494.png: uiqm=-0.10897633921021632, uciqe=0.5183468370837879
3519.png: uiqm=0.0770489306386849, uciqe=0.5919265805731216
358_img_.png: uiqm=0.6238590998938558, uciqe=0.6076984709654055
432.png: uiqm=0.1089873625630603, uciqe=0.392482543224974
5.png: uiqm=0.2503796404870047, uciqe=0.5561768718211046
52.png: uiqm=0.8342440785921741, uciqe=0.6310008764998756
579.png: uiqm=0.1705070721234907, uciqe=0.49639554817786347
605.png: uiqm=0.7556480752108208, uciqe=0.6655891810314781
616.png: uiqm=0.805903560826437, uciqe=0.5036759704079474
627.png: uiqm=0.5908639574170372, uciqe=0.5339455271610165
6333.png: uiqm=0.2448581979590948, uciqe=0.48609141832843605
6340.png: uiqm=0.18457323859353547, uciqe=0.5099145161740681
643_img_.png: uiqm=0.859933416377869, uciqe=0.631431957480803
6527.png: uiqm=0.4850990289334173, uciqe=0.4632675356779822
7277.png: uiqm=0.7441675916899755, uciqe=0.439464957819081
7291.png: uiqm=0.9171837846682401, uciqe=0.4600494647555161
770.png: uiqm=0.8888552073616734, uciqe=0.5823105767332544
866.png: uiqm=0.6349994443448367, uciqe=0.5231486309550298
880.png: uiqm=1.0239315873045016, uciqe=0.5485699430981569
9553.png: uiqm=0.5804639929191083, uciqe=0.5434422950684533
9602.png: uiqm=0.22033458692201957, uciqe=0.532528201516088
9607.png: uiqm=0.15575356290261588, uciqe=0.48970068451993126
9618.png: uiqm=0.4926034704563196, uciqe=0.5967246541482456

Average: uiqm=0.39654222246928056, uciqe=0.5046153160845378

