476_img_.png: NIQE=53.83448289266766  with dealing time: 66.67595958709717
48_img_.png: NIQE=44.71734269994865  with dealing time: 73.17499876022339
495_img_.png: NIQE=51.33467579570191  with dealing time: 65.29194474220276
4_img_.png: NIQE=38.93600028311832  with dealing time: 64.57715439796448
550_img_.png: NIQE=43.90788034502907  with dealing time: 65.71397757530212
557.png: NIQE=39.355945204092755  with dealing time: 62.785871744155884
55_img_.png: NIQE=41.60340446732346  with dealing time: 65.2270495891571
61_img_.png: NIQE=42.96018338777753  with dealing time: 70.19461750984192
629_img_.png: NIQE=48.702412342076386  with dealing time: 63.31185579299927
70_img_.png: NIQE=38.113672669153374  with dealing time: 68.9584333896637
747_img_.png: NIQE=49.16465759190939  with dealing time: 67.79410600662231
7_img_.png: NIQE=39.23217400813649  with dealing time: 71.99632716178894
849_img_.png: NIQE=34.723956273110986  with dealing time: 69.18399047851562
856_img_.png: NIQE=39.91832047589676  with dealing time: 69.09949064254761
8_img_.png: NIQE=48.58657909523306  with dealing time: 62.1458535194397
901_img_.png: NIQE=56.764798097486725  with dealing time: 64.6068422794342
906_img_.png: NIQE=58.42154489203959  with dealing time: 66.27738308906555
97_img_.png: NIQE=45.97531069677185  with dealing time: 55.99919867515564
9_img_.png: NIQE=37.308978395028134  with dealing time: 53.85283160209656

110 Image Average: NIQE=44.52650784000681, TimePerImage=77.44063792011954, SumTime = 8518.47017121315s

