104_img_: PSNR=26.30567313079904 SSIM=0.9313182639736343 UIQM=0.4548256695577937 UCIQE=0.5640831562928588
10_img_: PSNR=16.42333519267416 SSIM=0.2500525028614007 UIQM=0.3965649662635661 UCIQE=0.5968227381251563
111_img_: PSNR=25.775223897094097 SSIM=0.9020876952183495 UIQM=0.05352975091641188 UCIQE=0.5308027612777335
112_img_: PSNR=21.12877877290645 SSIM=0.8210198258502467 UIQM=0.7557478437983381 UCIQE=0.5894831313677713
11_img_: PSNR=16.405045137201114 SSIM=0.6795004755132206 UIQM=0.8561310163793583 UCIQE=0.6362900265969784
13_img_: PSNR=18.422266877491225 SSIM=0.735042720851435 UIQM=0.8300624878057526 UCIQE=0.5834049479493456
14_img_: PSNR=22.8693044897647 SSIM=0.8270954281251787 UIQM=1.0113294154173031 UCIQE=0.6390832360363443
15003: PSNR=18.878264506571195 SSIM=0.1905644574973154 UIQM=0.4790284676090022 UCIQE=0.5050914035764125
150_img_: PSNR=24.761927826898148 SSIM=0.841628376097426 UIQM=0.8329175384424099 UCIQE=0.6215497101924874
15544: PSNR=23.10038903712482 SSIM=0.685992317595196 UIQM=0.02937654984659477 UCIQE=0.5177492975564186
15_img_: PSNR=20.77248420053192 SSIM=0.8179263949368222 UIQM=1.030184983203002 UCIQE=0.6382634184976891
169_img_: PSNR=18.632997765802845 SSIM=0.6492848382582768 UIQM=1.1414544729071678 UCIQE=0.5538958416545685
16_img_: PSNR=23.115308940710687 SSIM=0.7478808570735842 UIQM=0.943087662545766 UCIQE=0.5629132627517938
17_img_: PSNR=21.669649191606545 SSIM=0.8177718048791734 UIQM=1.0912477284047677 UCIQE=0.6190110755855995
18_img_: PSNR=18.10553407858206 SSIM=0.4956496622779955 UIQM=0.7563961213668833 UCIQE=0.47755236701206033
19_img_: PSNR=19.52178147381813 SSIM=0.6834806532868578 UIQM=0.9540924076785611 UCIQE=0.6207363192843616
