421_img_.jpg: NIQE=39.193029062484136  with dealing time: 81.52181482315063
460_img_.jpg: NIQE=39.41824932871059  with dealing time: 90.94850945472717
466_img_.jpg: NIQE=42.61836517253614  with dealing time: 83.9098539352417
471_img_.jpg: NIQE=42.97632101038365  with dealing time: 78.72509980201721
472_img_.jpg: NIQE=48.18797053359238  with dealing time: 73.44797396659851
476_img_.jpg: NIQE=41.205076882115286  with dealing time: 81.97849774360657
48_img_.jpg: NIQE=42.05639197427758  with dealing time: 88.53361988067627
495_img_.jpg: NIQE=52.634741063536374  with dealing time: 78.2432508468628
4_img_.jpg: NIQE=31.87370525653355  with dealing time: 81.5672378540039
550_img_.jpg: NIQE=37.36177258411804  with dealing time: 80.08868217468262
557.jpg: NIQE=34.441914320138075  with dealing time: 77.47587084770203
55_img_.jpg: NIQE=33.80357903109148  with dealing time: 78.96832752227783
61_img_.jpg: NIQE=31.812801914398555  with dealing time: 85.38982915878296
629_img_.jpg: NIQE=38.787481085351885  with dealing time: 76.01029229164124
70_img_.jpg: NIQE=30.97675303344451  with dealing time: 85.2871503829956
747_img_.jpg: NIQE=34.41030570350922  with dealing time: 83.41823315620422
7_img_.jpg: NIQE=32.58216218169075  with dealing time: 89.25511312484741
849_img_.jpg: NIQE=32.91851739294048  with dealing time: 84.14219760894775
856_img_.jpg: NIQE=36.539426054895934  with dealing time: 83.61945915222168
8_img_.jpg: NIQE=38.801743537524956  with dealing time: 77.10328364372253
901_img_.jpg: NIQE=57.62265043058959  with dealing time: 77.05966424942017
906_img_.jpg: NIQE=45.71364744838812  with dealing time: 86.79765582084656
97_img_.jpg: NIQE=34.016046079135634  with dealing time: 77.21036314964294
9_img_.jpg: NIQE=35.220460969319916  with dealing time: 78.85706543922424

110 Image Average: NIQE=41.0072869768979, TimePerImage=89.0618413925171, SumTime = 9796.80255317688s

