476_img_.png: NIQE=57.28222987031055  with dealing time: 76.53964185714722
48_img_.png: NIQE=42.41542385421601  with dealing time: 81.34345030784607
495_img_.png: NIQE=55.44010713072192  with dealing time: 72.88606214523315
4_img_.png: NIQE=36.22006298557194  with dealing time: 71.26298880577087
550_img_.png: NIQE=39.03332653028071  with dealing time: 74.09844422340393
557.png: NIQE=35.50738617942126  with dealing time: 70.88678026199341
55_img_.png: NIQE=40.325886801411556  with dealing time: 71.5347318649292
61_img_.png: NIQE=37.896472233183985  with dealing time: 77.01907110214233
629_img_.png: NIQE=43.22548463760269  with dealing time: 69.1242880821228
70_img_.png: NIQE=31.799828254698234  with dealing time: 76.8742356300354
747_img_.png: NIQE=44.33822211597247  with dealing time: 77.45589780807495
7_img_.png: NIQE=35.106727561937035  with dealing time: 79.60740518569946
849_img_.png: NIQE=39.26327354094648  with dealing time: 78.58911442756653
856_img_.png: NIQE=43.01156674934199  with dealing time: 77.57184267044067
8_img_.png: NIQE=42.944496345673606  with dealing time: 70.75350046157837
901_img_.png: NIQE=69.18883426166448  with dealing time: 72.3339958190918
906_img_.png: NIQE=60.340017999557915  with dealing time: 71.5488498210907
97_img_.png: NIQE=35.922945641210994  with dealing time: 63.92388439178467
9_img_.png: NIQE=34.445078577093604  with dealing time: 69.9970235824585

110 Image Average: NIQE=43.92025273496627, TimePerImage=69.0485049312765, SumTime = 7595.335542440414s

