104_img_: PSNR=18.199862824065494 SSIM=0.8515349428483316 UIQM=0.6872140329982237 UCIQE=0.5909076801280314
10_img_: PSNR=15.399395936359092 SSIM=0.28938976602534083 UIQM=0.8024154733021571 UCIQE=0.6061340416811475
111_img_: PSNR=14.55196675062658 SSIM=0.6723625591397826 UIQM=0.8255018048905793 UCIQE=0.5632239153652596
112_img_: PSNR=19.019870626741376 SSIM=0.6200608556478984 UIQM=0.908762296074104 UCIQE=0.5786155831664195
11_img_: PSNR=13.133715249692555 SSIM=0.6722748170382544 UIQM=1.0787959779767227 UCIQE=0.634434087628337
13_img_: PSNR=15.086716152528963 SSIM=0.6617168822715349 UIQM=1.120680021153068 UCIQE=0.5910210542454721
14_img_: PSNR=17.585068429997765 SSIM=0.6756152885690789 UIQM=1.1601366917040314 UCIQE=0.6119837067099256
15003: PSNR=17.669889506037656 SSIM=0.13142979493284423 UIQM=0.7734512134427372 UCIQE=0.4910831556889106
150_img_: PSNR=18.092766873781546 SSIM=0.601293070011921 UIQM=1.0879935554446696 UCIQE=0.5929321840269178
15544: PSNR=18.11122439539778 SSIM=0.4495629175015508 UIQM=0.6009636378133569 UCIQE=0.5322361426455071
15_img_: PSNR=15.700892855361737 SSIM=0.6904669356478861 UIQM=1.1117247132686905 UCIQE=0.658819270984303
169_img_: PSNR=14.730524081723953 SSIM=0.43013311221112327 UIQM=1.3850868958689984 UCIQE=0.555946149764152
16_img_: PSNR=19.680194325634453 SSIM=0.509187814989277 UIQM=1.1037829933695644 UCIQE=0.5720125826666974
17_img_: PSNR=18.951411042211607 SSIM=0.7199523055932197 UIQM=1.1375837799516368 UCIQE=0.6318202003309883
18_img_: PSNR=13.064218840703903 SSIM=0.2463411159272881 UIQM=0.8112455639302465 UCIQE=0.530592113287575
19_img_: PSNR=18.09568294359783 SSIM=0.6097899566548783 UIQM=1.095903369269855 UCIQE=0.5920943017823446
20: PSNR=17.672263801251106 SSIM=0.6124875665426888 UIQM=0.9473046098529723 UCIQE=0.6006137474823432
22_img_: PSNR=17.11080470558097 SSIM=0.531552781209855 UIQM=1.0912143422383696 UCIQE=0.5741138851237145
23_img_: PSNR=19.70948030771397 SSIM=0.6167170288446588 UIQM=1.123857530750665 UCIQE=0.5812894992893642
24_img_: PSNR=17.360488635321314 SSIM=0.5156416192244 UIQM=1.1269187318685485 UCIQE=0.576445314757281
282_img_: PSNR=17.4514194399701 SSIM=0.6199569998824161 UIQM=1.1801013763471764 UCIQE=0.6271012041306828
284_img_: PSNR=18.92001934898638 SSIM=0.6186841891285123 UIQM=1.239188249681587 UCIQE=0.643776839638341
288_img_: PSNR=20.60200893719898 SSIM=0.7712965112550894 UIQM=0.9882509367593126 UCIQE=0.5688439892091639
290_img_: PSNR=21.12704702181396 SSIM=0.6778284255958136 UIQM=1.0964438217130987 UCIQE=0.54469637142825
292_img_: PSNR=19.414724459733176 SSIM=0.7112555789003996 UIQM=1.092631590446822 UCIQE=0.6332428024772742
293_img_: PSNR=18.64721373097361 SSIM=0.48614697030450044 UIQM=0.9464151883540755 UCIQE=0.5741221419754319
294_img_: PSNR=14.751111592425012 SSIM=0.5632008417220902 UIQM=1.0660512370973947 UCIQE=0.5060139083395632
295_img_: PSNR=17.17990110740832 SSIM=0.7281203019157845 UIQM=1.18772447698618 UCIQE=0.6549271429395441
299_img_: PSNR=12.435404805399742 SSIM=0.5732444788893853 UIQM=1.1227458969849977 UCIQE=0.5697191386542473
2_img_: PSNR=16.416509328944123 SSIM=0.7229141909279078 UIQM=0.9322889530237464 UCIQE=0.6672294509906548
300_img_: PSNR=18.785255700006303 SSIM=0.6026495454325921 UIQM=1.0015461694342107 UCIQE=0.587605708276217
301_img_: PSNR=15.790227109506933 SSIM=0.6507413996526279 UIQM=1.0717335107373966 UCIQE=0.571523026221763
302_img_: PSNR=18.306134739864174 SSIM=0.6734049063331082 UIQM=1.0474946402008212 UCIQE=0.5607287219582604
303_img_: PSNR=20.81106297075728 SSIM=0.6169872798615663 UIQM=1.0624763905166943 UCIQE=0.6021984753986893
304_img_: PSNR=17.916520975408652 SSIM=0.5746988057374739 UIQM=1.0438590584392577 UCIQE=0.5322553845836
305_img_: PSNR=17.830533160062934 SSIM=0.736954255968534 UIQM=1.1626303212619737 UCIQE=0.5808535367192369
306_img_: PSNR=15.684321878761946 SSIM=0.3309363725442098 UIQM=1.116235784150617 UCIQE=0.5605585017169797
307_img_: PSNR=18.693617435925898 SSIM=0.3435467063067836 UIQM=1.103341506532781 UCIQE=0.5882871187370005
