104_img_: PSNR=16.60786223511146 SSIM=0.6546968965679691 UIQM=0.9225874482206409 UCIQE=0.5272529320090786
10_img_: PSNR=15.017524406173843 SSIM=0.2817657867254829 UIQM=1.0130681727130495 UCIQE=0.5724008070091335
111_img_: PSNR=14.246866217323937 SSIM=0.5268648425626397 UIQM=1.0774791714569736 UCIQE=0.5407100302457553
112_img_: PSNR=16.61204560040238 SSIM=0.5400648197144404 UIQM=0.9331001485759507 UCIQE=0.5566034054404101
11_img_: PSNR=13.879765704118398 SSIM=0.6025811828985674 UIQM=1.1296584576880633 UCIQE=0.5699576999575406
13_img_: PSNR=12.237164439553114 SSIM=0.2390749243579986 UIQM=0.9574206371811884 UCIQE=0.5221351230191227
14_img_: PSNR=17.363065238783754 SSIM=0.5746199478015757 UIQM=1.1406015590156486 UCIQE=0.5656723213235768
15003: PSNR=18.01554025100335 SSIM=0.3015375178541852 UIQM=0.6791102098350703 UCIQE=0.4855330033686807
150_img_: PSNR=15.832122776308557 SSIM=0.3744023188641731 UIQM=1.1027537597966617 UCIQE=0.5562834330284676
15544: PSNR=18.692494647538005 SSIM=0.42247659069343224 UIQM=0.4442533492556744 UCIQE=0.48642445631246783
15_img_: PSNR=16.585817980664288 SSIM=0.5628182487215665 UIQM=1.1728151264915945 UCIQE=0.5978897997418269
169_img_: PSNR=13.480260941472464 SSIM=0.4330840556146006 UIQM=0.8742485031221257 UCIQE=0.5078770119293157
16_img_: PSNR=17.401846157889842 SSIM=0.3377076550778165 UIQM=1.097045397887403 UCIQE=0.5461333195196835
17_img_: PSNR=19.26621284876602 SSIM=0.6462096529104666 UIQM=1.1543817510733532 UCIQE=0.5781210213088835
18_img_: PSNR=12.48765143292708 SSIM=0.17297681172386703 UIQM=0.8791358859540743 UCIQE=0.49730263861032864
19_img_: PSNR=16.444417666478532 SSIM=0.4768588293961554 UIQM=1.1909910722983754 UCIQE=0.5511717637304583
20: PSNR=17.14771790402636 SSIM=0.5579659405451043 UIQM=0.8280914484925943 UCIQE=0.5645882867481453
22_img_: PSNR=15.85588104256958 SSIM=0.5198812888760812 UIQM=1.0662333624868 UCIQE=0.548221614049708
23_img_: PSNR=17.873226178447908 SSIM=0.48277698958906007 UIQM=1.1448058484527128 UCIQE=0.5692949211170674
24_img_: PSNR=16.01389150798115 SSIM=0.4513344198036866 UIQM=1.114175502349439 UCIQE=0.5520864507776524
282_img_: PSNR=16.290669266667518 SSIM=0.5268841971259145 UIQM=1.0868747081673877 UCIQE=0.5753301679806209
284_img_: PSNR=16.392032837516805 SSIM=0.47339356204512956 UIQM=1.1647206542979296 UCIQE=0.5676711921826995
288_img_: PSNR=17.720401620745047 SSIM=0.4522201225366057 UIQM=0.9117578153033453 UCIQE=0.5269205465443813
290_img_: PSNR=17.066560814042184 SSIM=0.54952245206047 UIQM=1.3083284567901154 UCIQE=0.523114811700319
292_img_: PSNR=20.128362768255425 SSIM=0.7031158911714572 UIQM=0.9939546266407522 UCIQE=0.6042259424396574
293_img_: PSNR=15.996386046735225 SSIM=0.3800615885416571 UIQM=1.059216938291837 UCIQE=0.5408063686615227
294_img_: PSNR=11.532282236990248 SSIM=0.2717953648320054 UIQM=1.5101211971543425 UCIQE=0.5192220299730398
295_img_: PSNR=16.69050925459596 SSIM=0.6361223037640954 UIQM=1.1636156794987276 UCIQE=0.6161243893577208
299_img_: PSNR=11.787981753618833 SSIM=0.2933663381743862 UIQM=1.130379448046566 UCIQE=0.512590426249983
2_img_: PSNR=14.793817053483965 SSIM=0.6687147908603259 UIQM=1.0951868277727455 UCIQE=0.624795652951405
300_img_: PSNR=17.59541570935586 SSIM=0.5823412811464839 UIQM=1.2118674239762122 UCIQE=0.546957843362934
301_img_: PSNR=15.54912621176447 SSIM=0.36855160292985084 UIQM=1.17597223677378 UCIQE=0.5393277529200259
302_img_: PSNR=16.76258770021181 SSIM=0.5523800263950343 UIQM=1.0989205346830353 UCIQE=0.5040617555699893
303_img_: PSNR=16.53063802179471 SSIM=0.5749522295533456 UIQM=1.118435139695118 UCIQE=0.5380098512970842
304_img_: PSNR=16.059389658525514 SSIM=0.41427029249649905 UIQM=0.9526060872527179 UCIQE=0.5121107854968112
305_img_: PSNR=17.019910712205686 SSIM=0.5667816391648034 UIQM=1.2309904407581085 UCIQE=0.5380882723748501
306_img_: PSNR=14.06734369389431 SSIM=0.263203365789001 UIQM=1.1778478574818938 UCIQE=0.5478314368710584
307_img_: PSNR=18.713251948107008 SSIM=0.29743202509508043 UIQM=1.1754507864682222 UCIQE=0.5550978735380799
30_img_: PSNR=14.680109397917128 SSIM=0.5586936832609 UIQM=1.16630986808729 UCIQE=0.5635462885621499
311_img_: PSNR=20.788447335944515 SSIM=0.6126905589222289 UIQM=0.8568727064059671 UCIQE=0.5543322111772968
312_img_: PSNR=16.043821016214945 SSIM=0.5209515976692594 UIQM=1.2246157887519713 UCIQE=0.5908209869484936
313_img_: PSNR=18.424815900059116 SSIM=0.5155287160839257 UIQM=1.2270730590404897 UCIQE=0.5339781220124392
314_img_: PSNR=17.10377382844506 SSIM=0.5485352892006341 UIQM=1.0633907077740081 UCIQE=0.5330743637644266
315_img_: PSNR=16.212502217076437 SSIM=0.48471256021890463 UIQM=1.346983658153432 UCIQE=0.5562833213284556
316_img_: PSNR=16.33271729757507 SSIM=0.5160152698013007 UIQM=1.2393563565136823 UCIQE=0.5915224065269592
317_img_: PSNR=19.299355463847693 SSIM=0.6900107476364477 UIQM=1.2411620058677775 UCIQE=0.5832952368395798
318_img_: PSNR=15.006189089306769 SSIM=0.5806619032223193 UIQM=1.3263558252502219 UCIQE=0.5998475143470837
319_img_: PSNR=18.541697936695243 SSIM=0.5910544792000988 UIQM=1.0874960245968808 UCIQE=0.5375797592891254
320_img_: PSNR=18.49197602870246 SSIM=0.7155043062654369 UIQM=1.3293591108267488 UCIQE=0.5840294642529743
322_img_: PSNR=18.419973624834512 SSIM=0.4862486160216524 UIQM=0.9497267086638346 UCIQE=0.5405928189076038
323_img_: PSNR=10.9949089562714 SSIM=0.4279464279156033 UIQM=1.2028523875754253 UCIQE=0.530465052668668
324_img_: PSNR=18.325899919777942 SSIM=0.7028429869908072 UIQM=1.1249121000748734 UCIQE=0.5482763034914814
325_img_: PSNR=16.701914675537868 SSIM=0.4061537094053116 UIQM=1.1486272318347837 UCIQE=0.5399626581514493
326_img_: PSNR=18.14697102406021 SSIM=0.6314660626997078 UIQM=1.0962965449418343 UCIQE=0.5867016788518677
327_img_: PSNR=15.023063461478387 SSIM=0.4630243491819743 UIQM=1.284961938404538 UCIQE=0.5822503659561988
330_img_: PSNR=17.823528708557244 SSIM=0.5631307257042423 UIQM=1.1605630032237209 UCIQE=0.5527797919197255
332_img_: PSNR=15.4564797148507 SSIM=0.3669416029564322 UIQM=1.2395703489161145 UCIQE=0.5187607327284317
334_img_: PSNR=17.438784942456998 SSIM=0.585129902390884 UIQM=1.2543547896924023 UCIQE=0.5661886372459446
336_img_: PSNR=16.3903363976912 SSIM=0.4548545405576682 UIQM=1.1620544471527532 UCIQE=0.590280744496031
337_img_: PSNR=13.526463740077297 SSIM=0.3713706180020808 UIQM=1.2224805340445521 UCIQE=0.5467204680886917
338_img_: PSNR=14.259783963260231 SSIM=0.4361730494850178 UIQM=1.1678024385928132 UCIQE=0.56485538933005
340_img_: PSNR=16.627532974501626 SSIM=0.5947857151711717 UIQM=1.1105326392392791 UCIQE=0.5598737999584498
