476_img_.png: NIQE=32.068497483091775  with dealing time: 54.41166830062866
48_img_.png: NIQE=30.54234622002639  with dealing time: 61.09375357627869
495_img_.png: NIQE=46.27958769268879  with dealing time: 51.824684858322144
4_img_.png: NIQE=20.25614964464013  with dealing time: 56.81302285194397
550_img_.png: NIQE=60.91751641067268  with dealing time: 53.859668016433716
557.png: NIQE=26.97045482038442  with dealing time: 55.81010413169861
55_img_.png: NIQE=19.774594321099816  with dealing time: 54.40473961830139
61_img_.png: NIQE=66.16765283658214  with dealing time: 59.54595422744751
629_img_.png: NIQE=29.78584379040564  with dealing time: 52.75028991699219
70_img_.png: NIQE=17.985972193675472  with dealing time: 54.508049726486206
747_img_.png: NIQE=26.962422071058093  with dealing time: 49.537813663482666
7_img_.png: NIQE=31.952401499525205  with dealing time: 54.74077844619751
849_img_.png: NIQE=25.58628069819651  with dealing time: 50.65701365470886
856_img_.png: NIQE=28.193503472100314  with dealing time: 51.2177894115448
8_img_.png: NIQE=32.17154241645212  with dealing time: 47.1576623916626
901_img_.png: NIQE=51.645848946124396  with dealing time: 46.18498158454895
906_img_.png: NIQE=40.32198012455136  with dealing time: 53.77676773071289
97_img_.png: NIQE=20.8555070294745  with dealing time: 45.63553977012634
9_img_.png: NIQE=51.42284999079034  with dealing time: 52.2134165763855

110 Image Average: NIQE=41.36026028901588, TimePerImage=67.67523057677529, SumTime = 7444.275363445282s

