325_img_: PSNR=23.007289698713073 SSIM=0.8205349141226161 UIQM=0.8586750218273272 UCIQE=0.625350440280978
326_img_: PSNR=25.96601920323973 SSIM=0.9329388803459481 UIQM=0.9476409109904247 UCIQE=0.6535500264275613
327_img_: PSNR=25.04377108239347 SSIM=0.8851725527881098 UIQM=0.24139896252346393 UCIQE=0.6036273545491304
330_img_: PSNR=29.496720871967877 SSIM=0.9253374383692744 UIQM=0.19672366617368053 UCIQE=0.5700987266734637
332_img_: PSNR=24.3617500351832 SSIM=0.8345195029759164 UIQM=0.3604840257256784 UCIQE=0.5695352801791265
334_img_: PSNR=27.409595883854223 SSIM=0.9111588136682203 UIQM=1.294085733645372 UCIQE=0.6819581224312062
336_img_: PSNR=23.37394292461994 SSIM=0.7935639217718453 UIQM=0.9177691934418094 UCIQE=0.6390222011752325
337_img_: PSNR=20.368767337720726 SSIM=0.7795375462975772 UIQM=0.5892427241302387 UCIQE=0.5746099691572499
338_img_: PSNR=26.03349811306056 SSIM=0.9004176630508888 UIQM=0.18189298605670545 UCIQE=0.5912305879225329
340_img_: PSNR=24.34230983605531 SSIM=0.7946548035252312 UIQM=0.5333331814169616 UCIQE=0.6023332855280539
341_img_: PSNR=26.51989076369331 SSIM=0.9237328741643209 UIQM=0.6038493891166677 UCIQE=0.638463831320608
342_img_: PSNR=27.167363706504936 SSIM=0.9099479486784385 UIQM=0.8877500301675769 UCIQE=0.4693445223577778
343_img_: PSNR=24.50613877511134 SSIM=0.8948549546543867 UIQM=0.7741498116763458 UCIQE=0.5501399796859476
346_img_: PSNR=20.58022015086532 SSIM=0.7191613079595859 UIQM=0.9680792651599102 UCIQE=0.585340607829862
347_img_: PSNR=21.66602121483769 SSIM=0.6649833519930014 UIQM=0.8393378294686448 UCIQE=0.6054596474232972
348_img_: PSNR=23.526085704172957 SSIM=0.8810833736995272 UIQM=0.7225850658856127 UCIQE=0.5687386725907005
350_img_: PSNR=27.929882258219706 SSIM=0.8991911686389896 UIQM=1.0204749698230309 UCIQE=0.6389849251723684
351_img_: PSNR=23.217313255645227 SSIM=0.8185726421118543 UIQM=0.885026915493079 UCIQE=0.5669025441777418
353_img_: PSNR=16.369819529907062 SSIM=0.5805234357231912 UIQM=1.008455694326734 UCIQE=0.5373423254050953
355_img_: PSNR=27.73838664207453 SSIM=0.9152672418823987 UIQM=0.38648295230087115 UCIQE=0.562403384896293
