476_img_.png: NIQE=47.06585702157363  with dealing time: 77.3452775478363
48_img_.png: NIQE=42.098273481968484  with dealing time: 89.57768201828003
495_img_.png: NIQE=58.65215673917322  with dealing time: 79.61584711074829
4_img_.png: NIQE=35.333351266959326  with dealing time: 86.85815000534058
550_img_.png: NIQE=40.82785602581444  with dealing time: 78.59241151809692
557.png: NIQE=42.08094331273468  with dealing time: 76.12334871292114
55_img_.png: NIQE=39.67378135662123  with dealing time: 77.46867156028748
61_img_.png: NIQE=36.4220069704706  with dealing time: 80.36660361289978
629_img_.png: NIQE=42.59053381257205  with dealing time: 80.2375099658966
70_img_.png: NIQE=33.897289689660695  with dealing time: 85.52668237686157
747_img_.png: NIQE=46.35277725160109  with dealing time: 89.98106813430786
7_img_.png: NIQE=34.784870814256195  with dealing time: 91.28084993362427
849_img_.png: NIQE=38.800621832487074  with dealing time: 86.24989366531372
856_img_.png: NIQE=38.9240754770292  with dealing time: 82.9947440624237
8_img_.png: NIQE=47.706794870026165  with dealing time: 84.38023924827576
901_img_.png: NIQE=58.94922143120863  with dealing time: 91.3531744480133
906_img_.png: NIQE=49.111904345253556  with dealing time: 87.34992527961731
97_img_.png: NIQE=38.1236311941409  with dealing time: 67.58088183403015
9_img_.png: NIQE=37.38070877833298  with dealing time: 71.00566411018372

110 Image Average: NIQE=43.925602689494255, TimePerImage=84.6212761337107, SumTime = 9308.340374708176s

