12433.png: NIQE=34.271769994858104  with dealing time: 83.16721391677856
149.png: NIQE=35.74275096883342  with dealing time: 83.83526229858398
161.png: NIQE=35.37516505094608  with dealing time: 84.05368733406067
264574_00031858.png: NIQE=75.83380281751069  with dealing time: 74.96330785751343
264734_00038535.png: NIQE=60.80162061368179  with dealing time: 71.05088210105896
265119_00013763.png: NIQE=95.9034914133929  with dealing time: 71.77251839637756
265130_00031309.png: NIQE=70.43688823470802  with dealing time: 71.46887040138245
265344_00029330.png: NIQE=47.29449963920748  with dealing time: 73.85653567314148
306_img_.png: NIQE=39.59310256222383  with dealing time: 71.6449236869812
332_img_.png: NIQE=46.47732366468217  with dealing time: 75.99533796310425
3330.png: NIQE=67.70189366729439  with dealing time: 75.322092294693
36.png: NIQE=36.224955010057165  with dealing time: 74.56892585754395
387_img_.png: NIQE=51.51494515826497  with dealing time: 66.9186794757843
757_img_.png: NIQE=33.20522149530486  with dealing time: 71.84306335449219
819_img_.png: NIQE=38.77005421131703  with dealing time: 74.20175909996033
96.png: NIQE=42.12037278060183  with dealing time: 75.6912317276001
GI_1.png: NIQE=34.5662369081786  with dealing time: 70.22444105148315
GI_16.png: NIQE=49.25089101011435  with dealing time: 77.06211400032043
GI_2.png: NIQE=53.63893265341346  with dealing time: 68.76057124137878
GI_22.png: NIQE=37.4165482120981  with dealing time: 78.00061416625977
GI_29.png: NIQE=79.38284918535138  with dealing time: 74.76752352714539
GI_33.png: NIQE=44.24233121382827  with dealing time: 72.82870817184448
GI_35.png: NIQE=39.130254176997795  with dealing time: 75.75312185287476
GI_43.png: NIQE=50.5070883797779  with dealing time: 75.7220458984375
GI_7.png: NIQE=36.53484345623192  with dealing time: 72.10898447036743
GI_78.png: NIQE=35.273779479578266  with dealing time: 74.8383104801178
GI_8.png: NIQE=38.42547919688709  with dealing time: 69.70891857147217
GI_95.png: NIQE=38.030292025253125  with dealing time: 73.19808340072632
gmn_5017up.png: NIQE=39.23181296382266  with dealing time: 76.0973207950592
gmn_5029up.png: NIQE=40.84164466959895  with dealing time: 71.09651327133179
gmn_5148up.png: NIQE=48.071051607100884  with dealing time: 73.04220676422119
gmn_5183up.png: NIQE=33.36401277408376  with dealing time: 74.4396059513092
gmn_5185up.png: NIQE=34.83612496772784  with dealing time: 73.32531023025513
gmn_5228up.png: NIQE=33.70256678724687  with dealing time: 72.64948010444641
gmn_7856up.png: NIQE=37.12780995449686  with dealing time: 71.82010245323181
gmn_7919up.png: NIQE=39.1062197012947  with dealing time: 72.31868958473206
im_f1582_.png: NIQE=44.75698409033641  with dealing time: 70.77747440338135
im_f2253_.png: NIQE=49.583401049446316  with dealing time: 71.15863537788391
n01496331_1010.png: NIQE=40.79988194194505  with dealing time: 71.12497591972351
