476_img_.png: NIQE=47.24746924763644  with dealing time: 55.4775025844574
48_img_.png: NIQE=35.396018527832055  with dealing time: 63.32577705383301
495_img_.png: NIQE=52.53627370497737  with dealing time: 54.11897420883179
4_img_.png: NIQE=36.90418734626861  with dealing time: 54.56010913848877
550_img_.png: NIQE=40.84657788728094  with dealing time: 56.23499631881714
557.png: NIQE=37.746168211982315  with dealing time: 55.25913667678833
55_img_.png: NIQE=39.61676531903087  with dealing time: 54.81408929824829
61_img_.png: NIQE=34.69549915086819  with dealing time: 60.31582045555115
629_img_.png: NIQE=41.56459620812002  with dealing time: 53.50152778625488
70_img_.png: NIQE=37.549575494264054  with dealing time: 59.777007818222046
747_img_.png: NIQE=44.14128275797878  with dealing time: 57.99851417541504
7_img_.png: NIQE=38.02871109106754  with dealing time: 61.94644498825073
849_img_.png: NIQE=34.19256207402798  with dealing time: 59.968989849090576
856_img_.png: NIQE=37.4467217251649  with dealing time: 58.31268286705017
8_img_.png: NIQE=47.99847174049829  with dealing time: 55.109601974487305
901_img_.png: NIQE=52.968929456883764  with dealing time: 53.91227436065674
906_img_.png: NIQE=46.76598186581415  with dealing time: 60.34549307823181
97_img_.png: NIQE=39.14475270064017  with dealing time: 52.958446979522705
9_img_.png: NIQE=39.1569703468615  with dealing time: 59.1152241230011

110 Image Average: NIQE=41.36795630620024, TimePerImage=70.64042101339861, SumTime = 7770.446311473846s

