100001.png: NIQE=57.42923148057103  with dealing time: 102.88313245773315
10091.png: NIQE=32.684706354272926  with dealing time: 91.64657950401306
10103.png: NIQE=42.54890305707125  with dealing time: 96.05544805526733
10167.png: NIQE=39.45593533395719  with dealing time: 90.0192174911499
102.png: NIQE=36.59137015342953  with dealing time: 94.57844686508179
10226.png: NIQE=34.667838769277004  with dealing time: 97.15233278274536
10475.png: NIQE=54.47803033451841  with dealing time: 89.31024169921875
10488.png: NIQE=46.95422633562233  with dealing time: 89.1052131652832
12191.png: NIQE=38.149862945322305  with dealing time: 87.1334137916565
12203.png: NIQE=35.221489204224966  with dealing time: 88.72302865982056
12228.png: NIQE=41.12881079509372  with dealing time: 86.90157675743103
12565.png: NIQE=40.86422093847339  with dealing time: 87.81746053695679
12577.png: NIQE=36.48966156347905  with dealing time: 86.87901902198792
12625.png: NIQE=43.837229510472  with dealing time: 94.80814504623413
12709.png: NIQE=43.61407567523965  with dealing time: 85.3444766998291
12753.png: NIQE=44.29755297132605  with dealing time: 82.76493644714355
12960.png: NIQE=61.6078574297603  with dealing time: 84.81295228004456
12972.png: NIQE=46.26917615419061  with dealing time: 89.62730550765991
13252.png: NIQE=49.89613548214961  with dealing time: 81.5045177936554
13259.png: NIQE=43.8788996643919  with dealing time: 81.15736556053162
15603.png: NIQE=36.024974488175346  with dealing time: 83.15601086616516
15735.png: NIQE=37.888593423459845  with dealing time: 80.71968054771423
15738.png: NIQE=38.899282820921655  with dealing time: 83.791255235672
15740.png: NIQE=57.78407594582121  with dealing time: 82.42951250076294
15774.png: NIQE=56.11936514638887  with dealing time: 78.87289524078369
15775.png: NIQE=52.737696009523624  with dealing time: 84.56808829307556
2.png: NIQE=43.30918843012683  with dealing time: 76.73917365074158
2575.png: NIQE=39.97508972528348  with dealing time: 80.4300811290741
2583.png: NIQE=47.795233824468355  with dealing time: 80.50137233734131
2856.png: NIQE=37.6997290874866  with dealing time: 79.19960355758667
3027.png: NIQE=35.623432569715895  with dealing time: 75.44331002235413
3051.png: NIQE=34.8303750832033  with dealing time: 79.40753769874573
3087.png: NIQE=37.2673108933563  with dealing time: 75.67625069618225
3175.png: NIQE=49.68201703752157  with dealing time: 80.51585745811462
3201.png: NIQE=44.46957054591524  with dealing time: 77.40873599052429
3279.png: NIQE=46.019836182224225  with dealing time: 79.14792060852051
34.png: NIQE=37.61999148239782  with dealing time: 79.56491231918335
3494.png: NIQE=39.1525906209792  with dealing time: 80.5959324836731
3519.png: NIQE=41.841780938626364  with dealing time: 82.66310167312622
358_img_.png: NIQE=41.1187183877196  with dealing time: 76.4132285118103
432.png: NIQE=64.56453005813007  with dealing time: 78.79898357391357
5.png: NIQE=51.45353391192024  with dealing time: 82.85057997703552
52.png: NIQE=34.56608399319204  with dealing time: 75.75873970985413
579.png: NIQE=36.31296361169983  with dealing time: 76.17143487930298
605.png: NIQE=39.49981623983125  with dealing time: 74.66586780548096
616.png: NIQE=35.16132276706441  with dealing time: 71.81964087486267
627.png: NIQE=34.55190717020137  with dealing time: 72.48535656929016
6333.png: NIQE=78.88416957627751  with dealing time: 77.42522478103638
6340.png: NIQE=51.78231187874853  with dealing time: 76.17244505882263
643_img_.png: NIQE=34.884866561134395  with dealing time: 74.20265913009644
6527.png: NIQE=47.52493145081743  with dealing time: 77.06677055358887
7277.png: NIQE=43.936814570256615  with dealing time: 70.74468111991882
7291.png: NIQE=41.50643392814844  with dealing time: 74.7328782081604
770.png: NIQE=38.69973773545719  with dealing time: 74.02733492851257
866.png: NIQE=48.32694948640529  with dealing time: 73.43409967422485
880.png: NIQE=44.89415846502685  with dealing time: 75.66931414604187
9553.png: NIQE=46.25211879046457  with dealing time: 73.67533326148987
9602.png: NIQE=39.646930014118915  with dealing time: 71.44924283027649
9607.png: NIQE=37.01508492199602  with dealing time: 70.16828298568726
9618.png: NIQE=37.6297112145813  with dealing time: 69.22573471069336

60 Image Average: NIQE=43.55030738569384, TimePerImage=81.26689792871476, SumTime = 4876.013875722885s

