C_690.jpg: NIQE=41.66119408444724  with dealing time: 57.493489265441895
C_726.jpg: NIQE=57.69181283810849  with dealing time: 55.38152503967285
D_026.jpg: NIQE=45.49771202189706  with dealing time: 55.72233271598816
D_053.jpg: NIQE=56.13976813086191  with dealing time: 55.18732786178589
D_088.jpg: NIQE=98.59307611656678  with dealing time: 51.750641107559204
D_110.jpg: NIQE=49.78579243913187  with dealing time: 56.694148540496826
D_151.jpg: NIQE=54.02396729898853  with dealing time: 57.22777962684631
D_159.jpg: NIQE=53.00955245470479  with dealing time: 57.78218150138855
D_187.jpg: NIQE=57.85707686867308  with dealing time: 56.574485778808594
D_208.jpg: NIQE=49.91906266284253  with dealing time: 55.09887742996216
D_249.jpg: NIQE=60.10773958699024  with dealing time: 56.448256492614746
D_263.jpg: NIQE=45.64207153658841  with dealing time: 55.17862844467163
D_285.jpg: NIQE=43.505492362031305  with dealing time: 55.58728504180908
D_306.jpg: NIQE=39.5104776280071  with dealing time: 56.83216428756714
D_347.jpg: NIQE=53.74308955514599  with dealing time: 57.22270894050598
D_361.jpg: NIQE=41.31324354019134  with dealing time: 56.12511372566223
D_383.jpg: NIQE=53.05351634808702  with dealing time: 57.28940200805664
D_404.jpg: NIQE=65.85510053403658  with dealing time: 54.71763229370117
D_445.jpg: NIQE=51.91478877872784  with dealing time: 55.699299335479736
D_459.jpg: NIQE=35.341347593369576  with dealing time: 54.1590621471405
D_494.jpg: NIQE=55.94056868105035  with dealing time: 52.70783805847168
D_502.jpg: NIQE=41.94322744051414  with dealing time: 52.0016086101532
D_551.jpg: NIQE=50.89963403854978  with dealing time: 51.99390959739685
D_557.jpg: NIQE=50.74880058168796  with dealing time: 50.554442405700684
D_592.jpg: NIQE=68.98341193716037  with dealing time: 50.77408480644226
D_606.jpg: NIQE=60.98673211732941  with dealing time: 46.5233314037323
D_628.jpg: NIQE=39.09534610676969  with dealing time: 45.65335536003113
D_649.jpg: NIQE=50.756599996962954  with dealing time: 45.71829557418823
D_663.jpg: NIQE=52.2045475229137  with dealing time: 45.086190938949585
D_690.jpg: NIQE=46.7348263432015  with dealing time: 44.28217792510986
D_704.jpg: NIQE=55.44201151019562  with dealing time: 45.1187949180603
D_726.jpg: NIQE=74.98996831978909  with dealing time: 46.975414752960205
