Epoch: 85	Time: 245.9750	Loss: 0.1685	LearningRate 0.000011
Epoch: 86	Time: 246.6440	Loss: 0.1683	LearningRate 0.000010
Epoch: 87	Time: 247.0259	Loss: 0.1682	LearningRate 0.000009
Epoch: 88	Time: 246.0343	Loss: 0.1680	LearningRate 0.000007
Epoch: 89	Time: 248.0118	Loss: 0.1679	LearningRate 0.000006
Epoch: 90	Time: 246.2366	Loss: 0.1679	LearningRate 0.000005
Epoch: 91	Time: 247.6785	Loss: 0.1677	LearningRate 0.000004
Epoch: 92	Time: 246.2805	Loss: 0.1676	LearningRate 0.000004
Epoch: 93	Time: 247.5632	Loss: 0.1676	LearningRate 0.000003
Epoch: 94	Time: 247.7581	Loss: 0.1677	LearningRate 0.000002
Epoch: 95	Time: 246.3731	Loss: 0.1677	LearningRate 0.000002
Epoch: 96	Time: 247.9279	Loss: 0.1674	LearningRate 0.000002
Epoch: 97	Time: 247.0800	Loss: 0.1675	LearningRate 0.000001
Epoch: 98	Time: 247.7076	Loss: 0.1675	LearningRate 0.000001
Epoch: 99	Time: 248.3139	Loss: 0.1673	LearningRate 0.000001
Epoch: 100	Time: 247.0429	Loss: 0.1673	LearningRate 0.000001
