476_img_.png: NIQE=47.651080579949  with dealing time: 37.49648904800415
48_img_.png: NIQE=43.74375942461562  with dealing time: 42.003406286239624
495_img_.png: NIQE=61.10762493551467  with dealing time: 37.31994271278381
4_img_.png: NIQE=37.096613302490525  with dealing time: 37.3089644908905
550_img_.png: NIQE=42.10571487430867  with dealing time: 36.08287739753723
557.png: NIQE=43.01961252527941  with dealing time: 35.9802405834198
55_img_.png: NIQE=39.671418550968  with dealing time: 38.1953809261322
61_img_.png: NIQE=39.03734325471318  with dealing time: 39.84976506233215
629_img_.png: NIQE=46.87185132920645  with dealing time: 35.372413635253906
70_img_.png: NIQE=36.45920413017892  with dealing time: 38.1283757686615
747_img_.png: NIQE=40.6702662942581  with dealing time: 39.511857748031616
7_img_.png: NIQE=37.654504101192536  with dealing time: 42.714163064956665
849_img_.png: NIQE=37.265163067490626  with dealing time: 38.583181619644165
856_img_.png: NIQE=39.52928792919186  with dealing time: 41.65176248550415
8_img_.png: NIQE=42.456537972004476  with dealing time: 37.209245920181274
901_img_.png: NIQE=60.91579153078717  with dealing time: 34.77391791343689
906_img_.png: NIQE=50.99489438819873  with dealing time: 40.64907217025757
97_img_.png: NIQE=38.46394012386506  with dealing time: 34.33056354522705
9_img_.png: NIQE=36.28748727485968  with dealing time: 39.14777445793152

110 Image Average: NIQE=44.318146579880406, TimePerImage=36.15118374174291, SumTime = 3976.6302115917206s

