12433.png: uiqm=0.5606475683665146, uciqe=0.5254087831960267
149.png: uiqm=0.3473947859215139, uciqe=0.5096806835799381
161.png: uiqm=0.479456249681418, uciqe=0.5413334934425894
264574_00031858.png: uiqm=1.1049171748094468, uciqe=0.5024005846132086
264734_00038535.png: uiqm=0.25508703120241494, uciqe=0.4814183636033454
265119_00013763.png: uiqm=0.1499946215319814, uciqe=0.5243168326925769
265130_00031309.png: uiqm=0.3029385837930396, uciqe=0.47501381769155704
265344_00029330.png: uiqm=0.34302327779508457, uciqe=0.5064464712467124
306_img_.png: uiqm=0.5264819420163098, uciqe=0.5398718382580082
332_img_.png: uiqm=0.2704756428958177, uciqe=0.5303433822915944
3330.png: uiqm=0.09784497449192475, uciqe=0.5477041316462076
36.png: uiqm=-0.08972964032372949, uciqe=0.4377510551814454
387_img_.png: uiqm=0.6722449124456595, uciqe=0.5001091845288714
757_img_.png: uiqm=0.7366053911943379, uciqe=0.5429093753533007
819_img_.png: uiqm=0.46319649085068737, uciqe=0.5238415247309574
96.png: uiqm=0.7640832303604711, uciqe=0.512844396226578
GI_1.png: uiqm=0.13209092730444782, uciqe=0.4223849288823008
GI_16.png: uiqm=0.4128339894854615, uciqe=0.5372605745100227
GI_2.png: uiqm=0.5313836833751348, uciqe=0.44313708902725363
GI_22.png: uiqm=0.3833831204692322, uciqe=0.5059939342255091
GI_29.png: uiqm=0.2957559740093195, uciqe=0.32767356896168154
GI_33.png: uiqm=0.519096895505925, uciqe=0.5078938533136679
GI_35.png: uiqm=0.3677861872836676, uciqe=0.6420927247591817
GI_43.png: uiqm=0.2986138624876643, uciqe=0.611977792250246
GI_7.png: uiqm=0.5662744608669459, uciqe=0.402791019537569
GI_78.png: uiqm=0.23361913702310466, uciqe=0.5333084318200794
GI_8.png: uiqm=0.6079842916127831, uciqe=0.4406253559588784
GI_95.png: uiqm=0.2295274412542937, uciqe=0.4744534230804588
gmn_5017up.png: uiqm=0.5470359207262234, uciqe=0.5063897412043299
gmn_5029up.png: uiqm=0.3599990853857912, uciqe=0.5471882241791576
gmn_5148up.png: uiqm=0.14077299234466933, uciqe=0.553299706553955
gmn_5183up.png: uiqm=0.1804919050948789, uciqe=0.5128518133558094
gmn_5185up.png: uiqm=0.5097798546265659, uciqe=0.541513555597972
gmn_5228up.png: uiqm=0.542813858396623, uciqe=0.5169704059946988
gmn_7856up.png: uiqm=0.8147085155087374, uciqe=0.5810188332675965
gmn_7919up.png: uiqm=0.47743327940021263, uciqe=0.44379350225974157
