476_img_.png: NIQE=57.4679382877104  with dealing time: 75.64898324012756
48_img_.png: NIQE=39.188897909321085  with dealing time: 80.64438104629517
495_img_.png: NIQE=63.72193637523992  with dealing time: 73.25674366950989
4_img_.png: NIQE=28.687251606726033  with dealing time: 71.78754925727844
550_img_.png: NIQE=39.478876050861714  with dealing time: 73.19264459609985
557.png: NIQE=36.59234263742656  with dealing time: 69.31372284889221
55_img_.png: NIQE=35.51194162901781  with dealing time: 68.95533990859985
61_img_.png: NIQE=34.80032204552951  with dealing time: 77.60528445243835
629_img_.png: NIQE=45.07430770724133  with dealing time: 70.38710451126099
70_img_.png: NIQE=28.69672802110412  with dealing time: 77.76135444641113
747_img_.png: NIQE=41.913127911427935  with dealing time: 74.64480566978455
7_img_.png: NIQE=33.79775701600927  with dealing time: 81.24763703346252
849_img_.png: NIQE=39.58686393491214  with dealing time: 74.84667611122131
856_img_.png: NIQE=44.139848459781305  with dealing time: 76.28797316551208
8_img_.png: NIQE=40.87074009937551  with dealing time: 72.81288266181946
901_img_.png: NIQE=70.50108294097673  with dealing time: 72.25753498077393
906_img_.png: NIQE=59.49420042803851  with dealing time: 71.26842522621155
97_img_.png: NIQE=34.747804579375796  with dealing time: 59.80620574951172
9_img_.png: NIQE=33.70640844182208  with dealing time: 66.93731927871704

110 Image Average: NIQE=46.12515386898733, TimePerImage=90.64390114220706, SumTime = 9970.829125642776s

