476_img_.png: NIQE=41.40579776097547  with dealing time: 66.68312168121338
48_img_.png: NIQE=27.361155021237934  with dealing time: 72.17275166511536
495_img_.png: NIQE=52.70045302014487  with dealing time: 64.48462867736816
4_img_.png: NIQE=17.44410240496385  with dealing time: 69.01267743110657
550_img_.png: NIQE=27.404715550355316  with dealing time: 67.76527667045593
557.png: NIQE=23.272860139988726  with dealing time: 65.33121919631958
55_img_.png: NIQE=20.579682878431246  with dealing time: 66.45517611503601
61_img_.png: NIQE=21.50652960056482  with dealing time: 71.99430513381958
629_img_.png: NIQE=27.530227940914052  with dealing time: 64.81274127960205
70_img_.png: NIQE=17.959246285392673  with dealing time: 70.61884880065918
747_img_.png: NIQE=24.565277102956617  with dealing time: 68.63152742385864
7_img_.png: NIQE=18.427186653415056  with dealing time: 72.24980664253235
849_img_.png: NIQE=43.07411210701232  with dealing time: 69.5675630569458
856_img_.png: NIQE=36.475151319771214  with dealing time: 69.69414830207825
8_img_.png: NIQE=26.78489079602488  with dealing time: 66.53523826599121
901_img_.png: NIQE=61.77613614855591  with dealing time: 64.73203110694885
906_img_.png: NIQE=36.99142843680152  with dealing time: 70.53192043304443
97_img_.png: NIQE=19.895893737073397  with dealing time: 64.8888247013092
9_img_.png: NIQE=20.824431940809305  with dealing time: 69.71010899543762

110 Image Average: NIQE=38.76109963300281, TimePerImage=79.4336186322299, SumTime = 8737.698049545288s

