100001.png: NIQE=42.63207714118367  with dealing time: 74.75093078613281
10091.png: NIQE=25.241685966148417  with dealing time: 61.756478786468506
10103.png: NIQE=30.437292884176188  with dealing time: 68.25447368621826
10167.png: NIQE=24.407341512228477  with dealing time: 67.47320508956909
102.png: NIQE=21.317098570934768  with dealing time: 64.72751665115356
10226.png: NIQE=30.530543546555034  with dealing time: 64.25530290603638
10475.png: NIQE=39.08662245981782  with dealing time: 59.471521854400635
10488.png: NIQE=33.423713990152365  with dealing time: 61.03703689575195
12191.png: NIQE=24.308367655955898  with dealing time: 61.189719915390015
12203.png: NIQE=24.03707061265946  with dealing time: 60.32062792778015
12228.png: NIQE=29.488502223740284  with dealing time: 56.097657203674316
12565.png: NIQE=25.364519523855897  with dealing time: 60.965747356414795
12577.png: NIQE=25.711044388342447  with dealing time: 60.43894839286804
12625.png: NIQE=32.575350263420276  with dealing time: 67.22562217712402
12709.png: NIQE=25.7105732318953  with dealing time: 70.41485047340393
12753.png: NIQE=35.677084877285246  with dealing time: 62.4052734375
12960.png: NIQE=42.38983370309208  with dealing time: 70.27092480659485
12972.png: NIQE=33.20569819444064  with dealing time: 71.44511723518372
13252.png: NIQE=28.575110534531586  with dealing time: 65.61748147010803
13259.png: NIQE=28.359263853492404  with dealing time: 63.729233741760254
15603.png: NIQE=23.513236889996282  with dealing time: 77.17987418174744
15735.png: NIQE=26.44416250449653  with dealing time: 68.0257306098938
15738.png: NIQE=23.438979904249383  with dealing time: 66.69969177246094
15740.png: NIQE=44.338241799233586  with dealing time: 62.139796018600464
15774.png: NIQE=41.17081259629959  with dealing time: 62.197388887405396
15775.png: NIQE=51.17831393232882  with dealing time: 62.89802265167236
2.png: NIQE=20.81624916863548  with dealing time: 67.39721035957336
2575.png: NIQE=25.903281953186806  with dealing time: 72.42590546607971
2583.png: NIQE=30.15305808752281  with dealing time: 63.30768966674805
2856.png: NIQE=23.901836133694697  with dealing time: 61.42823600769043
3027.png: NIQE=19.664301277386016  with dealing time: 60.632561683654785
3051.png: NIQE=20.565778925783597  with dealing time: 61.917381048202515
3087.png: NIQE=23.54933322001882  with dealing time: 60.8650918006897
3175.png: NIQE=32.12797568665939  with dealing time: 60.45950388908386
3201.png: NIQE=27.82666854093502  with dealing time: 67.15744304656982
3279.png: NIQE=24.232102220795365  with dealing time: 64.34367561340332
34.png: NIQE=23.64162970109424  with dealing time: 63.80814981460571
3494.png: NIQE=27.700327623277133  with dealing time: 64.93537902832031
3519.png: NIQE=24.373212701685077  with dealing time: 69.947429895401
358_img_.png: NIQE=42.66393730311513  with dealing time: 65.4490487575531
432.png: NIQE=37.78433853337454  with dealing time: 63.1757435798645
5.png: NIQE=31.50713936095869  with dealing time: 69.19007444381714
52.png: NIQE=26.413149582046632  with dealing time: 70.39732646942139
579.png: NIQE=23.916538678625113  with dealing time: 62.12887191772461
605.png: NIQE=25.334649457700852  with dealing time: 58.50785303115845
616.png: NIQE=27.550361724209328  with dealing time: 56.55421710014343
627.png: NIQE=22.64313185885285  with dealing time: 59.24577569961548
6333.png: NIQE=45.74131566870425  with dealing time: 65.13120555877686
6340.png: NIQE=41.15447242938512  with dealing time: 64.33158469200134
643_img_.png: NIQE=20.428344317641656  with dealing time: 62.46088480949402
6527.png: NIQE=34.99172972830278  with dealing time: 61.116429567337036
7277.png: NIQE=23.28138336578466  with dealing time: 61.436951875686646
7291.png: NIQE=25.978185509541145  with dealing time: 59.210254430770874
770.png: NIQE=22.668420454591125  with dealing time: 57.69656276702881
866.png: NIQE=28.61052505851308  with dealing time: 57.14701437950134
880.png: NIQE=28.8824066774219  with dealing time: 58.78672242164612
9553.png: NIQE=29.160689321949807  with dealing time: 58.372294902801514
9602.png: NIQE=23.747543046604076  with dealing time: 56.28524041175842
9607.png: NIQE=23.730091103056917  with dealing time: 61.661869287490845
9618.png: NIQE=25.604135359093117  with dealing time: 56.64389419555664

60 Image Average: NIQE=29.14684644234433, TimePerImage=63.57572754224142, SumTime = 3814.543652534485s

