100001.png: NIQE=52.407912659518175  with dealing time: 77.9636709690094
10091.png: NIQE=36.3148114427755  with dealing time: 73.97987937927246
10103.png: NIQE=37.007221799812584  with dealing time: 75.98313236236572
10167.png: NIQE=31.656486218934887  with dealing time: 77.482901096344
102.png: NIQE=43.414626674593826  with dealing time: 79.15332293510437
10226.png: NIQE=48.01954234172057  with dealing time: 83.63442325592041
10475.png: NIQE=62.49833814614665  with dealing time: 74.78684830665588
10488.png: NIQE=47.00645990453098  with dealing time: 73.66125679016113
12191.png: NIQE=33.86347117891234  with dealing time: 74.6031723022461
12203.png: NIQE=37.4924280822116  with dealing time: 74.46452140808105
12228.png: NIQE=42.93146993377723  with dealing time: 65.71572041511536
12565.png: NIQE=35.34679525033507  with dealing time: 72.36381196975708
12577.png: NIQE=33.34685135018687  with dealing time: 75.23490190505981
12625.png: NIQE=39.326276529337164  with dealing time: 81.21273589134216
12709.png: NIQE=45.31520884139196  with dealing time: 73.5928692817688
12753.png: NIQE=38.14903310794071  with dealing time: 68.3143355846405
12960.png: NIQE=43.6158163000423  with dealing time: 78.11003851890564
12972.png: NIQE=44.54646603798549  with dealing time: 77.89550614356995
13252.png: NIQE=49.82325564055816  with dealing time: 76.48536372184753
13259.png: NIQE=37.01590733019274  with dealing time: 73.65115690231323
15603.png: NIQE=38.14220557728736  with dealing time: 80.52803564071655
15735.png: NIQE=43.30074871933251  with dealing time: 79.48509621620178
15738.png: NIQE=37.544559868243844  with dealing time: 79.57690238952637
15740.png: NIQE=52.37741819605278  with dealing time: 77.21780037879944
15774.png: NIQE=72.08614469755497  with dealing time: 78.16412496566772
15775.png: NIQE=57.741976724517535  with dealing time: 77.4316189289093
2.png: NIQE=48.51025812957952  with dealing time: 73.16115164756775
2575.png: NIQE=31.20456322604925  with dealing time: 77.48259615898132
2583.png: NIQE=34.60872821304903  with dealing time: 73.48599743843079
2856.png: NIQE=35.108386878468885  with dealing time: 75.96571564674377
3027.png: NIQE=31.386777059734595  with dealing time: 71.71304392814636
3051.png: NIQE=29.078861252219603  with dealing time: 73.09010076522827
3087.png: NIQE=30.95504856600376  with dealing time: 69.9053955078125
3175.png: NIQE=41.749742329420435  with dealing time: 68.19621443748474
3201.png: NIQE=29.556885006995582  with dealing time: 74.4125554561615
3279.png: NIQE=37.44112837833513  with dealing time: 73.78080797195435
34.png: NIQE=33.84467810431906  with dealing time: 75.5685875415802
3494.png: NIQE=37.03089228622844  with dealing time: 74.48375606536865
3519.png: NIQE=40.22746705744553  with dealing time: 81.58457612991333
358_img_.png: NIQE=62.66106264818341  with dealing time: 78.50082206726074
432.png: NIQE=66.50027473589451  with dealing time: 80.28640985488892
5.png: NIQE=54.28989583336789  with dealing time: 76.91520953178406
52.png: NIQE=30.551285894366313  with dealing time: 69.6810610294342
579.png: NIQE=31.81431729337635  with dealing time: 71.12927770614624
605.png: NIQE=34.920119483746  with dealing time: 63.64352369308472
616.png: NIQE=32.41489534784427  with dealing time: 58.84990048408508
627.png: NIQE=34.801627743195645  with dealing time: 63.03809690475464
6333.png: NIQE=47.01107050637257  with dealing time: 63.309191942214966
6340.png: NIQE=47.52945857628152  with dealing time: 65.08342814445496
643_img_.png: NIQE=31.895761149461627  with dealing time: 61.13099718093872
6527.png: NIQE=47.37640912240418  with dealing time: 64.34447860717773
7277.png: NIQE=38.38980682221354  with dealing time: 60.67720818519592
7291.png: NIQE=44.95732966684148  with dealing time: 58.00697588920593
770.png: NIQE=31.816124963984556  with dealing time: 59.154240131378174
866.png: NIQE=37.18207990983993  with dealing time: 58.27158784866333
880.png: NIQE=39.55144026197076  with dealing time: 57.208134174346924
9553.png: NIQE=49.13210170094506  with dealing time: 58.553807973861694
9602.png: NIQE=35.97416074098416  with dealing time: 59.308093547821045
9607.png: NIQE=33.66028837880897  with dealing time: 62.310128927230835
9618.png: NIQE=37.58723310057275  with dealing time: 71.1438250541687

60 Image Average: NIQE=41.18352654870664, TimePerImage=71.73450075387954, SumTime = 4304.070045232773s

