476_img_.png: NIQE=53.904866021825185  with dealing time: 66.92497372627258
48_img_.png: NIQE=41.93271482590311  with dealing time: 72.90433239936829
495_img_.png: NIQE=53.5359883989597  with dealing time: 65.01506328582764
4_img_.png: NIQE=37.53508840381988  with dealing time: 65.40327501296997
550_img_.png: NIQE=44.143735043888995  with dealing time: 65.44500398635864
557.png: NIQE=39.568989699739085  with dealing time: 63.21361780166626
55_img_.png: NIQE=40.86329068183188  with dealing time: 65.06648135185242
61_img_.png: NIQE=41.91248191629305  with dealing time: 70.36419630050659
629_img_.png: NIQE=48.4842359214091  with dealing time: 63.4698224067688
70_img_.png: NIQE=37.95491059046622  with dealing time: 68.87991666793823
747_img_.png: NIQE=48.28942547782405  with dealing time: 67.68371963500977
7_img_.png: NIQE=38.72374641539871  with dealing time: 72.28387713432312
849_img_.png: NIQE=38.63396129153783  with dealing time: 69.19809150695801
856_img_.png: NIQE=41.19304295762776  with dealing time: 68.95333433151245
8_img_.png: NIQE=48.46970097882879  with dealing time: 61.85625886917114
901_img_.png: NIQE=55.24998239091726  with dealing time: 64.61386823654175
906_img_.png: NIQE=56.9181272412131  with dealing time: 71.06245970726013
97_img_.png: NIQE=44.9104808682306  with dealing time: 60.85153245925903
9_img_.png: NIQE=36.65846903389484  with dealing time: 61.79894471168518

110 Image Average: NIQE=46.61464370032319, TimePerImage=77.740909762816, SumTime = 8551.50007390976s

