1.png: uiqm=0.36312341278481697, uciqe=0.4967884221999799
10.png: uiqm=0.23119276193339933, uciqe=0.5397019731599135
100.png: uiqm=0.4392979664078478, uciqe=0.48671888569518795
101.png: uiqm=0.2500123809266177, uciqe=0.5288943506367128
102.png: uiqm=0.44595033098847026, uciqe=0.5275079332986017
103.png: uiqm=0.8166529436138372, uciqe=0.5119377887227758
104.png: uiqm=0.643208349874273, uciqe=0.5096262394418682
105.png: uiqm=0.7915383410684302, uciqe=0.5401219246427185
106.png: uiqm=0.5513996360697676, uciqe=0.5399002561712467
107.png: uiqm=0.4299251914798392, uciqe=0.4728872404680479
108.png: uiqm=0.6695896126846699, uciqe=0.5057196962657676
109.png: uiqm=0.3511936934079378, uciqe=0.506766045730532
11.png: uiqm=0.22503689666757098, uciqe=0.5425057849773333
110.png: uiqm=0.25721520263598996, uciqe=0.5017517579200605
111.png: uiqm=0.7070234201026773, uciqe=0.538871574611469
112.png: uiqm=0.35309327338904384, uciqe=0.5055249983451986
113.png: uiqm=0.36258132747517124, uciqe=0.510359841722959
114.png: uiqm=0.6791130159820428, uciqe=0.5247679112270247
115.png: uiqm=0.5403649710767348, uciqe=0.528737808646812
116.png: uiqm=0.3822107963274006, uciqe=0.4793394609468886
117.png: uiqm=0.39792750737889593, uciqe=0.48980007363648237
118.png: uiqm=0.1453121205619078, uciqe=0.48387258560328583
119.png: uiqm=0.5955960334149442, uciqe=0.509157052460051
12.png: uiqm=0.2348398765041635, uciqe=0.5407636766897935
120.png: uiqm=0.6545901778560771, uciqe=0.5212974009082142
121.png: uiqm=0.5561332373501559, uciqe=0.5221076648606999
122.png: uiqm=0.551799216927187, uciqe=0.5073885151546368
123.png: uiqm=0.26404405848350754, uciqe=0.49381941801438467
124.png: uiqm=0.4072933566149317, uciqe=0.5147490144330984
125.png: uiqm=0.3870049905349966, uciqe=0.5208546336664881
126.png: uiqm=0.6192347552415663, uciqe=0.5252609656411983
127.png: uiqm=0.3741912149118076, uciqe=0.4728964844485599
128.png: uiqm=0.5066795534538678, uciqe=0.43996268076766054
129.png: uiqm=0.41977172658915696, uciqe=0.5118043858637501
13.png: uiqm=0.26414925241529497, uciqe=0.5365481297566804
130.png: uiqm=0.4828165337664907, uciqe=0.522175555305202
131.png: uiqm=0.3513968978742107, uciqe=0.5120401292207557
132.png: uiqm=0.6815208576929966, uciqe=0.5159104859249278
133.png: uiqm=0.05986829288279205, uciqe=0.5172618384330794
134.png: uiqm=0.6142355990767647, uciqe=0.5134610405456052
135.png: uiqm=0.7186088604064237, uciqe=0.50876262800387
136.png: uiqm=0.7017485095754065, uciqe=0.514132645730295
137.png: uiqm=0.7300856203481558, uciqe=0.5137530834561757
138.png: uiqm=0.5127236923699379, uciqe=0.5065335888401563
139.png: uiqm=-0.031231430867156407, uciqe=0.5072135442161542
14.png: uiqm=0.22295868768636096, uciqe=0.5318397522012969
140.png: uiqm=0.3891572137505839, uciqe=0.5377505246198796
141.png: uiqm=0.5357966437682887, uciqe=0.5243969019932155
142.png: uiqm=0.42908882902286893, uciqe=0.5364961810892349
143.png: uiqm=0.6607348962192906, uciqe=0.5004228674521517
144.png: uiqm=0.5474624154681547, uciqe=0.5293488241474194
145.png: uiqm=0.36200028045071475, uciqe=0.5221548582553481
146.png: uiqm=0.4231062503148968, uciqe=0.4877170337563768
147.png: uiqm=0.41658149492748586, uciqe=0.4931339019974459
148.png: uiqm=0.5255728587071041, uciqe=0.5193663204938859
149.png: uiqm=-0.05824555367991424, uciqe=0.5147668494407525
15.png: uiqm=0.06974199453029595, uciqe=0.5306102572983973
150.png: uiqm=-0.0652370902146725, uciqe=0.5024627164659914
151.png: uiqm=0.5221292899052321, uciqe=0.5236556698751631
152.png: uiqm=-0.06416331947622989, uciqe=0.5019262569003963
153.png: uiqm=0.3412639747780859, uciqe=0.49999387189127975
154.png: uiqm=0.5076712653693032, uciqe=0.5199751922454645
155.png: uiqm=-0.16526867393788602, uciqe=0.4942939686102189
156.png: uiqm=0.5457122508912223, uciqe=0.5195059485696266
157.png: uiqm=0.17881398204664622, uciqe=0.5179612457951843
158.png: uiqm=0.23983503539008788, uciqe=0.5204825047349059
159.png: uiqm=0.2826935967916865, uciqe=0.5218795311979204
16.png: uiqm=0.3634582355716163, uciqe=0.47924413986993974
160.png: uiqm=0.27779149197521136, uciqe=0.5135736001558384
161.png: uiqm=0.06832069715344413, uciqe=0.5355606950884453
162.png: uiqm=0.157024620278006, uciqe=0.538877618843755
163.png: uiqm=0.4884721030696303, uciqe=0.4840389675695067
164.png: uiqm=0.06936764990121269, uciqe=0.5148193877393595
165.png: uiqm=0.11383219420833623, uciqe=0.5197704569682734
166.png: uiqm=0.32719727406898313, uciqe=0.5275397079821815
167.png: uiqm=0.1494813656933187, uciqe=0.5229523909073316
168.png: uiqm=0.13658483841475388, uciqe=0.5235089459770582
169.png: uiqm=0.06969229699608759, uciqe=0.5163719779443126
17.png: uiqm=0.52043117762584, uciqe=0.5081853719635145
170.png: uiqm=0.038344415909094653, uciqe=0.5274024011480699
171.png: uiqm=0.03268961486765154, uciqe=0.5312332322226728
172.png: uiqm=0.3801486762874594, uciqe=0.4794579290690829
173.png: uiqm=0.035596615120121355, uciqe=0.5284862673940965
174.png: uiqm=0.07371145466512585, uciqe=0.5303823004497856
175.png: uiqm=0.07230416259229233, uciqe=0.5267206026137189
176.png: uiqm=0.5058673525472341, uciqe=0.5053954152836054
177.png: uiqm=0.05561995834750488, uciqe=0.5289980927784423
178.png: uiqm=0.42222121384825106, uciqe=0.5349486101550036
179.png: uiqm=0.5151545186252513, uciqe=0.5099125997874641
18.png: uiqm=0.5351386744734987, uciqe=0.5253605869633511
180.png: uiqm=0.40306591233915456, uciqe=0.5401830860907483
181.png: uiqm=0.3957111182563685, uciqe=0.4643755226805929
182.png: uiqm=0.4110855836599647, uciqe=0.46536748136134326
183.png: uiqm=0.529828906392109, uciqe=0.5441612632225594
19.png: uiqm=0.5595462993693667, uciqe=0.5430394987449028
2.png: uiqm=0.5498599235731307, uciqe=0.5142349587655819
20.png: uiqm=0.49947759059396446, uciqe=0.5153392506908566
21.png: uiqm=0.42513087626900414, uciqe=0.49480327097230636
22.png: uiqm=0.4411237812345672, uciqe=0.5053788864148028
23.png: uiqm=0.4516245974761348, uciqe=0.5059621722066485
24.png: uiqm=0.4626206364479968, uciqe=0.5136999941547474
25.png: uiqm=0.3525428816882378, uciqe=0.4817560567742224
26.png: uiqm=0.4012030377426844, uciqe=0.5209382243597269
27.png: uiqm=0.40464974202112447, uciqe=0.5123906794394167
28.png: uiqm=0.3572252148451658, uciqe=0.4916254359225398
29.png: uiqm=0.3504474403591886, uciqe=0.49915225684757425
3.png: uiqm=0.2419053942913154, uciqe=0.4992712458671006
30.png: uiqm=0.5348707388079746, uciqe=0.5680499374638794
31.png: uiqm=0.3917262814360045, uciqe=0.4955813308014745
32.png: uiqm=0.4914348969347946, uciqe=0.572411868532877
33.png: uiqm=0.27088999971889915, uciqe=0.5193316775590275
34.png: uiqm=0.2876882627891303, uciqe=0.51917171660113
35.png: uiqm=0.5664649686527713, uciqe=0.5408788875914098
36.png: uiqm=0.19737437631314225, uciqe=0.5094210181140326
37.png: uiqm=0.12967256837884977, uciqe=0.504088991817131
38.png: uiqm=0.2531456734615194, uciqe=0.5295290888330558
39.png: uiqm=0.199023634809958, uciqe=0.5248961873919519
4.png: uiqm=0.47988885807246484, uciqe=0.49036289815197764
40.png: uiqm=0.08796339247395535, uciqe=0.5053819772485005
41.png: uiqm=0.09817982126587144, uciqe=0.5044276066817547
42.png: uiqm=0.09563889535515258, uciqe=0.4966899895050485
43.png: uiqm=0.0874940454821378, uciqe=0.4989659497053114
44.png: uiqm=0.05890934653228852, uciqe=0.5043736448565361
45.png: uiqm=0.05986281577991859, uciqe=0.5028969534863048
46.png: uiqm=0.02832305808323765, uciqe=0.4985132322123683
47.png: uiqm=0.0472703502296834, uciqe=0.502502945925072
48.png: uiqm=0.010151315014804374, uciqe=0.5198573349813236
49.png: uiqm=0.013369814601030261, uciqe=0.4961138457870691
5.png: uiqm=0.45479207373452213, uciqe=0.48435615012445454
50.png: uiqm=0.12286666813130886, uciqe=0.5151359629904607
51.png: uiqm=0.3735123880643969, uciqe=0.492133999072488
52.png: uiqm=0.013244514865096257, uciqe=0.4790456635209604
53.png: uiqm=0.3891311484769522, uciqe=0.4991195908851686
54.png: uiqm=0.019985238981785503, uciqe=0.48316960529280595
55.png: uiqm=0.04920424188142525, uciqe=0.4798032460747708
56.png: uiqm=0.01641546308241515, uciqe=0.4727291785207922
57.png: uiqm=0.021352638287564507, uciqe=0.47915146612329546
58.png: uiqm=0.40704974231249813, uciqe=0.4990057018955397
59.png: uiqm=0.02786213090801748, uciqe=0.4818146650471398
6.png: uiqm=0.439333865027132, uciqe=0.48728144867177947
60.png: uiqm=0.06082827337055652, uciqe=0.5099276163796399
61.png: uiqm=0.0873041474818107, uciqe=0.5178431350665644
62.png: uiqm=0.11150741948253073, uciqe=0.5165817752466586
63.png: uiqm=0.2573136676882467, uciqe=0.5374955746634006
64.png: uiqm=0.3276907684721162, uciqe=0.5432790798308614
65.png: uiqm=0.3908153670472676, uciqe=0.5283955589758074
66.png: uiqm=0.22200032618103982, uciqe=0.5133733862390478
67.png: uiqm=0.15860186285057565, uciqe=0.5337122588957096
68.png: uiqm=0.14408600904487678, uciqe=0.5163602976237769
69.png: uiqm=0.1106532621725177, uciqe=0.5165240946546508
7.png: uiqm=0.43574239634779344, uciqe=0.48337251812695337
70.png: uiqm=0.08272910067917161, uciqe=0.5015182333178059
71.png: uiqm=0.08437682123894552, uciqe=0.5012936158206108
72.png: uiqm=0.09351379551648142, uciqe=0.5017725708055852
73.png: uiqm=0.08752735067621276, uciqe=0.5013781832618083
74.png: uiqm=0.12347616221870372, uciqe=0.5054006516275029
75.png: uiqm=0.08795546658966202, uciqe=0.5002142838043844
76.png: uiqm=0.07783242355646891, uciqe=0.5028947071667478
77.png: uiqm=0.27163251300404545, uciqe=0.5257135225798243
78.png: uiqm=0.2650793673642434, uciqe=0.5242232304202912
79.png: uiqm=0.04076513901086842, uciqe=0.48971227586425403
8.png: uiqm=0.4113073310343761, uciqe=0.47656244423392435
80.png: uiqm=0.14643399819507474, uciqe=0.5062763692846342
81.png: uiqm=0.15800029500588386, uciqe=0.513816846807746
82.png: uiqm=0.2060520863243076, uciqe=0.506111398761508
83.png: uiqm=0.16041100535708963, uciqe=0.533283092987823
84.png: uiqm=0.23945320915900836, uciqe=0.5301354959083332
85.png: uiqm=0.2393295314368561, uciqe=0.5303247283120851
86.png: uiqm=0.10906548687210649, uciqe=0.521218958535264
