476_img_.png: NIQE=48.17572934873927  with dealing time: 43.68499779701233
48_img_.png: NIQE=47.747772392023066  with dealing time: 48.024070739746094
495_img_.png: NIQE=51.83330963169574  with dealing time: 43.321377754211426
4_img_.png: NIQE=40.22219043841559  with dealing time: 43.77323603630066
550_img_.png: NIQE=44.42915283331315  with dealing time: 41.861241817474365
557.png: NIQE=40.47027993738498  with dealing time: 44.365922927856445
55_img_.png: NIQE=40.91782989469805  with dealing time: 41.01242017745972
61_img_.png: NIQE=38.4911152800507  with dealing time: 45.029611587524414
629_img_.png: NIQE=41.21258441603448  with dealing time: 48.715824127197266
70_img_.png: NIQE=36.47647375464449  with dealing time: 44.86451053619385
747_img_.png: NIQE=38.84269402606198  with dealing time: 44.531256675720215
7_img_.png: NIQE=41.27531430647534  with dealing time: 45.32821202278137
849_img_.png: NIQE=38.043885298828435  with dealing time: 48.52237582206726
856_img_.png: NIQE=43.864269002304994  with dealing time: 43.53826832771301
8_img_.png: NIQE=41.867303356635745  with dealing time: 41.73481512069702
901_img_.png: NIQE=55.568214364968796  with dealing time: 41.45138764381409
906_img_.png: NIQE=48.28622331390291  with dealing time: 47.74363565444946
97_img_.png: NIQE=38.72999848338309  with dealing time: 40.46719288825989
9_img_.png: NIQE=39.73876547803429  with dealing time: 44.40379238128662

110 Image Average: NIQE=42.980539049231474, TimePerImage=47.69064468687231, SumTime = 5245.970915555954s

