325_img_: PSNR=26.750060431574106 SSIM=0.9047413472236532 UIQM=0.9636913689268829 UCIQE=0.6643961855579026
326_img_: PSNR=28.414117498359815 SSIM=0.9514916049977078 UIQM=0.9173362850232942 UCIQE=0.6687662317440892
327_img_: PSNR=30.329160410719496 SSIM=0.9212349360033321 UIQM=0.33014440757059105 UCIQE=0.66557557315199
330_img_: PSNR=27.727242518583424 SSIM=0.8808054329500643 UIQM=0.06231821743275767 UCIQE=0.5929364653354194
332_img_: PSNR=26.343570092889244 SSIM=0.9130054253259936 UIQM=0.47692548471057705 UCIQE=0.6048964087882833
334_img_: PSNR=28.36280914374076 SSIM=0.9312169984592612 UIQM=1.176708749678735 UCIQE=0.6901762674712543
336_img_: PSNR=25.110289502597233 SSIM=0.8323455958968246 UIQM=0.9087117414644111 UCIQE=0.6738295495426787
337_img_: PSNR=23.233995626077245 SSIM=0.8874478222938478 UIQM=0.6748473996015399 UCIQE=0.6149715305589144
338_img_: PSNR=22.679864659635914 SSIM=0.8051002590341818 UIQM=0.5741829946976514 UCIQE=0.6237045167824393
340_img_: PSNR=29.331309483379297 SSIM=0.9464381823900619 UIQM=0.6230171848939561 UCIQE=0.6632220619998723
341_img_: PSNR=27.78156708324268 SSIM=0.9470030686315609 UIQM=0.600341863131958 UCIQE=0.6578803591751174
342_img_: PSNR=28.476715007920838 SSIM=0.9001155121140529 UIQM=0.9362094270013435 UCIQE=0.531033556574662
343_img_: PSNR=29.820862386327022 SSIM=0.9372580208731722 UIQM=0.7997314802119873 UCIQE=0.6025429379820701
346_img_: PSNR=21.900308756544323 SSIM=0.748048593841393 UIQM=1.1581779114320736 UCIQE=0.6476073963142722
347_img_: PSNR=24.87566912120661 SSIM=0.8202657268854004 UIQM=0.8708335294281252 UCIQE=0.6382298610544115
348_img_: PSNR=28.835396131917108 SSIM=0.944618751661297 UIQM=0.7040743532926812 UCIQE=0.6153710150742762
350_img_: PSNR=28.374131722920012 SSIM=0.9011002123947108 UIQM=1.009040636045734 UCIQE=0.6651560001178809
351_img_: PSNR=26.400788715853874 SSIM=0.9303230499368172 UIQM=0.9375151426730239 UCIQE=0.6266692095308255
353_img_: PSNR=17.17337676190937 SSIM=0.5538565049342977 UIQM=1.0190617621839584 UCIQE=0.5951302197047613
355_img_: PSNR=30.31248611645081 SSIM=0.9437048681105896 UIQM=0.4466293038433763 UCIQE=0.6166970326861283
356_img_: PSNR=26.958215135945863 SSIM=0.9179724072977582 UIQM=0.739185243898585 UCIQE=0.6694837244841735
359_img_: PSNR=28.237325034758335 SSIM=0.8853985888104023 UIQM=0.5992995985950189 UCIQE=0.6513743079091957
360_img_: PSNR=29.82217693339992 SSIM=0.9255937896322289 UIQM=0.17533474312464425 UCIQE=0.623218334642915
361_img_: PSNR=29.85285251124717 SSIM=0.9297063290829746 UIQM=0.3125710334238472 UCIQE=0.6195628717911327
362_img_: PSNR=27.696834739279677 SSIM=0.9426947032150866 UIQM=0.5795298598433477 UCIQE=0.6305439946395344
363_img_: PSNR=30.675994045704652 SSIM=0.9588722953302039 UIQM=0.1660759543940592 UCIQE=0.5788988949793947
364_img_: PSNR=30.452985843151158 SSIM=0.9595454258320508 UIQM=0.002123599781738039 UCIQE=0.6727153354966091
