12433.png: uiqm=0.829512028944541, uciqe=0.48414663054930396
149.png: uiqm=0.2398312003987847, uciqe=0.49669077527917715
161.png: uiqm=0.47129122479400937, uciqe=0.5199762690496244
264574_00031858.png: uiqm=1.109031316522175, uciqe=0.4960260253623676
264734_00038535.png: uiqm=0.7608206602725849, uciqe=0.566836538419077
265119_00013763.png: uiqm=0.5519989769664414, uciqe=0.5378065012650445
265130_00031309.png: uiqm=0.6556099416678457, uciqe=0.532310970339121
265344_00029330.png: uiqm=0.7434878525884263, uciqe=0.5269183612411186
306_img_.png: uiqm=0.5061373825169102, uciqe=0.537595896040167
332_img_.png: uiqm=0.5767938160600116, uciqe=0.5730524442646924
3330.png: uiqm=0.32884361680606, uciqe=0.612179768982571
36.png: uiqm=0.37539401405577477, uciqe=0.5105594200397316
387_img_.png: uiqm=0.9536748424515988, uciqe=0.5171220341833667
757_img_.png: uiqm=0.7402243117615626, uciqe=0.5464687679094082
819_img_.png: uiqm=0.5830677070776331, uciqe=0.5355256120519498
96.png: uiqm=0.7558154550118685, uciqe=0.5010983301965402
GI_1.png: uiqm=0.9849605182368999, uciqe=0.45016751683372636
GI_16.png: uiqm=0.4765105609250799, uciqe=0.5367417821593181
GI_2.png: uiqm=0.8700219293943412, uciqe=0.4644150718169688
GI_22.png: uiqm=0.3160985862257103, uciqe=0.4838543095818181
GI_29.png: uiqm=0.4061088115324716, uciqe=0.5205961124068216
GI_33.png: uiqm=0.9092754653772814, uciqe=0.5551908394038598
GI_35.png: uiqm=0.35037853791918877, uciqe=0.6087394577151631
GI_43.png: uiqm=0.41066645452109807, uciqe=0.5844403582080038
GI_7.png: uiqm=0.7730092522997303, uciqe=0.4349537966216951
GI_78.png: uiqm=0.814090806682153, uciqe=0.566794132688846
GI_8.png: uiqm=0.9577690900951553, uciqe=0.444702976437125
GI_95.png: uiqm=0.6767253905451646, uciqe=0.5190557765430943
gmn_5017up.png: uiqm=0.7434996198763593, uciqe=0.5462426773373178
gmn_5029up.png: uiqm=0.7195936709876508, uciqe=0.5605786470819377
gmn_5148up.png: uiqm=0.4692710730436047, uciqe=0.589847101950563
gmn_5183up.png: uiqm=0.736014659630458, uciqe=0.5124599192723953
gmn_5185up.png: uiqm=0.7812960483590641, uciqe=0.5809525920191511
gmn_5228up.png: uiqm=0.7734877421291114, uciqe=0.5540889091580492
gmn_7856up.png: uiqm=1.0695130916864712, uciqe=0.5939170586091994
gmn_7919up.png: uiqm=0.544259929323426, uciqe=0.4951984841239724
im_f1582_.png: uiqm=1.1864394231398117, uciqe=0.5572379666473691
im_f2253_.png: uiqm=0.625582497255513, uciqe=0.5157010823886734
n01496331_1010.png: uiqm=0.7583694198940436, uciqe=0.5222364096008765
n01496331_2044.png: uiqm=0.8229428421306073, uciqe=0.5492408897691402
n01914609_1112.png: uiqm=0.5774167687268301, uciqe=0.5556168112811735
n01914609_11380.png: uiqm=0.8212485328393618, uciqe=0.5160409858356575
n01914609_13222.png: uiqm=0.9664604534193628, uciqe=0.4844589748321545
n01914609_13909.png: uiqm=1.1202047310232142, uciqe=0.4739337681408958
n01914609_1437.png: uiqm=0.5463267590119848, uciqe=0.5755989410295125
n01914609_1980.png: uiqm=0.9034680245819767, uciqe=0.5475521013182115
n01914609_2054.png: uiqm=0.7422203600887589, uciqe=0.5349218138547976
n01914609_7919.png: uiqm=0.9358801740566605, uciqe=0.5347897594069767
n02607072_2382.png: uiqm=0.5171359848662278, uciqe=0.5028360751435444
n02607072_5845.png: uiqm=0.6637549824252652, uciqe=0.5390635365128366
n02607072_931.png: uiqm=0.9973071117851507, uciqe=0.5337610595984249
NF_1.png: uiqm=0.5159280246635208, uciqe=0.5203780678383292
NF_10.png: uiqm=0.4234148712863433, uciqe=0.5156669023650727
NF_100.png: uiqm=0.5767248989788827, uciqe=0.4980119146165119
NF_110.png: uiqm=0.45679301561363694, uciqe=0.5109272815784884
NF_116.png: uiqm=0.5400474348173421, uciqe=0.49612791619166835
NF_123.png: uiqm=0.21783908627958382, uciqe=0.52833290048812
NF_124.png: uiqm=0.7353913998869888, uciqe=0.47592923331986964
NF_13.png: uiqm=-0.09461873596882436, uciqe=0.4970306771045445
NF_14.png: uiqm=0.198133380195081, uciqe=0.45233103776933037
NF_141.png: uiqm=0.568189440299363, uciqe=0.46001015081790364
NF_147.png: uiqm=0.7448990520410657, uciqe=0.5098034414059716
NF_148.png: uiqm=0.7586903974592942, uciqe=0.5075338747108544
NF_166.png: uiqm=0.8649402221735685, uciqe=0.5047122147929513
NF_171.png: uiqm=0.6438710421990848, uciqe=0.5065925517630672
NF_172.png: uiqm=0.09646685187104831, uciqe=0.45037303817506324
NF_174.png: uiqm=0.7392095442720561, uciqe=0.5120723716666062
NF_177.png: uiqm=0.5802287075821674, uciqe=0.5186563703277726
NF_194.png: uiqm=0.19176088637626967, uciqe=0.5265851310034071
NF_195.png: uiqm=0.4707947445099717, uciqe=0.5044220254562367
NF_2.png: uiqm=0.1709416865351715, uciqe=0.5463909355371606
NF_201.png: uiqm=0.4023677814493394, uciqe=0.5179856418482583
NF_209.png: uiqm=0.7756186688019884, uciqe=0.5537713925531537
NF_213.png: uiqm=0.669274644912527, uciqe=0.5140959271795471
NF_215.png: uiqm=0.5136987603151006, uciqe=0.5343667619063901
NF_218.png: uiqm=0.8039076976289511, uciqe=0.5272945383674636
NF_231.png: uiqm=0.6902960697706123, uciqe=0.5028912407707653
NF_241.png: uiqm=0.6104805329635685, uciqe=0.4940551859278186
NF_242.png: uiqm=0.41292864212386987, uciqe=0.47875600625253745
NF_252.png: uiqm=0.5686577182748805, uciqe=0.5207359108391258
NF_26.png: uiqm=0.43228877277003125, uciqe=0.5133359501552135
NF_280.png: uiqm=0.3658145657279901, uciqe=0.5132247470089316
NF_285.png: uiqm=0.5497126995701505, uciqe=0.524467699266761
NF_287.png: uiqm=0.24875842633787276, uciqe=0.47411070134223454
NF_313.png: uiqm=0.12857731350941698, uciqe=0.49710935326001565
NF_32.png: uiqm=0.29238575380336884, uciqe=0.5120322309876253
NF_363.png: uiqm=0.1072953318266292, uciqe=0.45920569254712157
NF_364.png: uiqm=0.3204015923866743, uciqe=0.5075736090623895
NF_387.png: uiqm=0.29888284996590886, uciqe=0.49295257694963346
NF_410.png: uiqm=0.3870742851294518, uciqe=0.5075272550678236
NF_417.png: uiqm=0.39313311263634815, uciqe=0.4821996153564867
NF_466.png: uiqm=0.2736087505895485, uciqe=0.5174099013018594
NF_470.png: uiqm=0.6074528779406709, uciqe=0.524698599600764
NF_507.png: uiqm=0.014444514778351847, uciqe=0.5109299360702106
NF_512.png: uiqm=0.5184749870253624, uciqe=0.548024465095126
NF_518.png: uiqm=0.5605554602705356, uciqe=0.557875819395178
NF_52.png: uiqm=0.3124389899428033, uciqe=0.5157902284476735
NF_56.png: uiqm=0.22114278766176892, uciqe=0.5172520208165006
NF_57.png: uiqm=0.2078821420968751, uciqe=0.4858184026604174
NF_60.png: uiqm=0.2680705202724696, uciqe=0.5184294058090373
NF_69.png: uiqm=0.4953845600769227, uciqe=0.561746400652066
NF_7.png: uiqm=0.4152603599332487, uciqe=0.5403017772045027
NF_70.png: uiqm=0.4348697774678957, uciqe=0.5665391708630003
NF_75.png: uiqm=0.5538498110798227, uciqe=0.5351927116575228
NF_78.png: uiqm=0.8382255329981296, uciqe=0.5141771621105764
NF_8.png: uiqm=0.326959846906077, uciqe=0.44059010810013866
NF_81.png: uiqm=0.4272055952408248, uciqe=0.5067372185097084
NF_85.png: uiqm=0.912388546478412, uciqe=0.5423196228345487
NF_94.png: uiqm=0.9145021933214382, uciqe=0.5107291437343469
NF_95.png: uiqm=1.162549291011966, uciqe=0.49845214495856005

Average: uiqm=0.5816846488000077, uciqe=0.5192985123082048

