100001.png: uiqm=0.32719459163793974, uciqe=0.44570939530282727
10091.png: uiqm=0.5491245224749071, uciqe=0.5476131098735839
10103.png: uiqm=0.8047086174990986, uciqe=0.5122515781281568
10167.png: uiqm=0.45364875486028694, uciqe=0.5651455288264352
102.png: uiqm=0.17578599101368333, uciqe=0.485192018295178
10226.png: uiqm=0.3677385308158245, uciqe=0.5424484417154313
10475.png: uiqm=0.5686956696539549, uciqe=0.5260536824045964
10488.png: uiqm=0.6166138736927622, uciqe=0.541673061882317
12191.png: uiqm=0.7716453171603475, uciqe=0.46444254180241584
12203.png: uiqm=0.6949370077973702, uciqe=0.5173849519978532
12228.png: uiqm=0.3755938522758269, uciqe=0.41515177350015015
12565.png: uiqm=0.646244359202372, uciqe=0.4590362613050116
12577.png: uiqm=0.941082559520166, uciqe=0.48495282908286647
12625.png: uiqm=0.21584095525662284, uciqe=0.46180003222068255
12709.png: uiqm=0.45205072287785264, uciqe=0.5547573553062599
12753.png: uiqm=-0.06191513469954352, uciqe=0.4630380454470846
12960.png: uiqm=0.33082698754950896, uciqe=0.541270081411236
12972.png: uiqm=0.32625695548409084, uciqe=0.5873085343596194
13252.png: uiqm=0.19815085634460206, uciqe=0.5341268155951249
13259.png: uiqm=0.7003744479589028, uciqe=0.5180707754053326
15603.png: uiqm=0.1764450655356815, uciqe=0.43380018095554923
15735.png: uiqm=-0.1787633689838042, uciqe=0.3836978357316721
15738.png: uiqm=-0.08339357318264673, uciqe=0.4634555749583894
15740.png: uiqm=0.3246363035251021, uciqe=0.4638907649946369
15774.png: uiqm=0.7095861833183215, uciqe=0.5417536401992933
15775.png: uiqm=0.2260889985169656, uciqe=0.42224912423636984
2.png: uiqm=0.7396339831900782, uciqe=0.4910115931591619
2575.png: uiqm=0.7642102240487907, uciqe=0.5627762133990978
2583.png: uiqm=0.4488086945063633, uciqe=0.6202992162636654
2856.png: uiqm=0.6294103781720009, uciqe=0.5185560897633635
3027.png: uiqm=0.5825720468123172, uciqe=0.5397255771633442
3051.png: uiqm=0.5284809918089617, uciqe=0.5274946819530572
3087.png: uiqm=0.6684241197070822, uciqe=0.5229901534579393
3175.png: uiqm=0.2414965837816601, uciqe=0.45359093188877675
3201.png: uiqm=0.632463340794992, uciqe=0.5388932589004884
3279.png: uiqm=0.6897482816077123, uciqe=0.49149280484874663
34.png: uiqm=0.35388826569262605, uciqe=0.5904226439610639
3494.png: uiqm=0.3464137574859154, uciqe=0.5224560723312587
3519.png: uiqm=0.49056107217419237, uciqe=0.5714338006836883
358_img_.png: uiqm=0.4437687514326495, uciqe=0.5801874918768701
432.png: uiqm=0.07715042849100953, uciqe=0.4707278531764905
5.png: uiqm=-0.005138036627924614, uciqe=0.5167872855791914
52.png: uiqm=0.4536375920059359, uciqe=0.5928538349522079
579.png: uiqm=0.42877903925761535, uciqe=0.5336575491180108
605.png: uiqm=0.6188491743494577, uciqe=0.5369473254898693
616.png: uiqm=0.5289608080519452, uciqe=0.5441081740054077
627.png: uiqm=0.5228609616563328, uciqe=0.55308480238609
6333.png: uiqm=0.33606489197902484, uciqe=0.44150561313241166
6340.png: uiqm=0.43730849523970794, uciqe=0.48050727828086404
643_img_.png: uiqm=0.6442948863840656, uciqe=0.520991041003001
6527.png: uiqm=0.16983053733288778, uciqe=0.47947962239869013
7277.png: uiqm=0.6716529263649865, uciqe=0.5397845105393406
7291.png: uiqm=0.5571801693637553, uciqe=0.48820758746975645
770.png: uiqm=0.837272590607226, uciqe=0.5313402428204663
866.png: uiqm=0.7683937049388683, uciqe=0.5168213646380233
880.png: uiqm=0.6713475870798148, uciqe=0.5458120914689013
9553.png: uiqm=0.5973474111673895, uciqe=0.6109923950453621
9602.png: uiqm=0.6468819578443556, uciqe=0.522954234844878
9607.png: uiqm=0.5752689768091217, uciqe=0.5155510393220204
9618.png: uiqm=0.22177448633669333, uciqe=0.513854545897728

Average: uiqm=0.4658133021158968, uciqe=0.5143928809359549

