476_img_.png: NIQE=52.76349290274782  with dealing time: 65.74286556243896
48_img_.png: NIQE=40.663819362114495  with dealing time: 72.51463675498962
495_img_.png: NIQE=56.63063946943434  with dealing time: 66.11174321174622
4_img_.png: NIQE=40.849412872079135  with dealing time: 64.80638575553894
550_img_.png: NIQE=44.11911379053383  with dealing time: 66.341881275177
557.png: NIQE=38.507749645329106  with dealing time: 62.368425369262695
55_img_.png: NIQE=42.64364127229157  with dealing time: 63.63597917556763
61_img_.png: NIQE=38.24703099328019  with dealing time: 70.94130635261536
629_img_.png: NIQE=46.79578256421943  with dealing time: 63.92923140525818
70_img_.png: NIQE=38.92813147923678  with dealing time: 69.79487586021423
747_img_.png: NIQE=44.663652428534405  with dealing time: 67.38931655883789
7_img_.png: NIQE=38.560772923924  with dealing time: 69.58847379684448
849_img_.png: NIQE=39.169595604614855  with dealing time: 68.23046541213989
856_img_.png: NIQE=45.36211275925855  with dealing time: 68.4166567325592
8_img_.png: NIQE=46.778447850585884  with dealing time: 63.257302045822144
901_img_.png: NIQE=64.02758503710326  with dealing time: 65.90819954872131
906_img_.png: NIQE=52.878085499966645  with dealing time: 71.00072383880615
97_img_.png: NIQE=42.6917422057422  with dealing time: 62.98836374282837
9_img_.png: NIQE=35.92841965868751  with dealing time: 62.995943546295166

110 Image Average: NIQE=46.0295527854467, TimePerImage=79.12396555813876, SumTime = 8703.636211395264s

