1.png: NIQE=52.93839024252824  with dealing time: 75.63223814964294
10.png: NIQE=46.29099120278474  with dealing time: 55.678179025650024
11.png: NIQE=55.53267795574643  with dealing time: 66.08867764472961
12.png: NIQE=37.7084839576858  with dealing time: 55.855154514312744
13.png: NIQE=35.42819339526992  with dealing time: 56.65349221229553
14.png: NIQE=44.180750318466  with dealing time: 62.68830180168152
15.png: NIQE=37.97378220903287  with dealing time: 55.01107978820801
16.png: NIQE=43.848473239952284  with dealing time: 53.535375356674194
17.png: NIQE=35.98355528518958  with dealing time: 59.97136664390564
18.png: NIQE=35.112677682231386  with dealing time: 61.75700616836548
19.png: NIQE=48.867445954915134  with dealing time: 61.651389598846436
2.png: NIQE=52.44034968221376  with dealing time: 61.60145926475525
20.png: NIQE=40.08761369138205  with dealing time: 64.55239176750183
21.png: NIQE=34.292274574269285  with dealing time: 62.86969208717346
22.png: NIQE=40.31611017091122  with dealing time: 64.5145754814148
23.png: NIQE=36.28876841893692  with dealing time: 62.89379668235779
24.png: NIQE=37.47112344611953  with dealing time: 67.19422459602356
25.png: NIQE=39.202982534504  with dealing time: 67.51465630531311
26.png: NIQE=42.4085770126066  with dealing time: 61.804624795913696
27.png: NIQE=37.13257241908952  with dealing time: 59.56378197669983
28.png: NIQE=37.573191771395756  with dealing time: 56.585599184036255
29.png: NIQE=52.569953957939916  with dealing time: 53.38019895553589
3.png: NIQE=51.23009847671852  with dealing time: 55.71685004234314
30.png: NIQE=52.338410009790586  with dealing time: 59.96165990829468
31.png: NIQE=40.0229447742215  with dealing time: 57.30677652359009
32.png: NIQE=44.72327957327271  with dealing time: 84.33356833457947
33.png: NIQE=38.95747307268556  with dealing time: 71.90460085868835
34.png: NIQE=44.27706062109273  with dealing time: 67.98434352874756
35.png: NIQE=42.533985782842876  with dealing time: 60.51390719413757
36.png: NIQE=40.22181823563992  with dealing time: 64.85720539093018
37.png: NIQE=36.80561677508073  with dealing time: 66.80379867553711
38.png: NIQE=34.34590794021353  with dealing time: 73.89014768600464
39.png: NIQE=43.48217184999052  with dealing time: 70.15129137039185
4.png: NIQE=53.20720654842415  with dealing time: 82.70730376243591
40.png: NIQE=36.93324052710678  with dealing time: 90.5392518043518
41.png: NIQE=41.15051128119672  with dealing time: 64.17274141311646
42.png: NIQE=39.54582010782907  with dealing time: 86.38490390777588
43.png: NIQE=37.86125433762846  with dealing time: 86.1975531578064
44.png: NIQE=37.680210043657205  with dealing time: 86.65781784057617
45.png: NIQE=35.88318442164551  with dealing time: 68.48261857032776
5.png: NIQE=45.92488491554781  with dealing time: 71.1752519607544
6.png: NIQE=55.91249303821343  with dealing time: 69.06871914863586
7.png: NIQE=44.688099515597635  with dealing time: 97.78708553314209
8.png: NIQE=59.38519346533232  with dealing time: 75.51207137107849
9.png: NIQE=45.13393703668601  with dealing time: 87.66677927970886

45 Image Average: NIQE=42.797638699413, TimePerImage=67.70607798364428, SumTime = 3046.7735092639923s

