NF_32_out.png: uiqm=0.20693705208080027, uciqe=0.4917044034518895
NF_363_out.png: uiqm=-0.3289619620001777, uciqe=0.4148073674656775
NF_364_out.png: uiqm=0.10281723030731582, uciqe=0.47148809932581137
NF_387_out.png: uiqm=-0.09822587270464345, uciqe=0.47770240877252157
NF_410_out.png: uiqm=0.08772763296217234, uciqe=0.47665349141780444
NF_417_out.png: uiqm=-0.6066991748657307, uciqe=0.4233293534594067
NF_466_out.png: uiqm=0.07864426939563407, uciqe=0.49334581859072046
NF_470_out.png: uiqm=0.4909270367154561, uciqe=0.5663858180283856
NF_507_out.png: uiqm=-0.20321594712797408, uciqe=0.5292603515530357
NF_512_out.png: uiqm=0.49275345484895827, uciqe=0.5171865941831197
NF_518_out.png: uiqm=0.8327358621564155, uciqe=0.5808153921678423
NF_52_out.png: uiqm=0.13203827534328594, uciqe=0.48105680263726813
NF_56_out.png: uiqm=0.09520547309664507, uciqe=0.5132737998370693
NF_57_out.png: uiqm=0.11681081797593007, uciqe=0.5025630919623463
NF_60_out.png: uiqm=0.11716270026948583, uciqe=0.5073647825296139
NF_69_out.png: uiqm=0.8221414696602369, uciqe=0.6522536630983033
NF_70_out.png: uiqm=0.662486692571284, uciqe=0.6475764953405135
NF_75_out.png: uiqm=0.49852441320468033, uciqe=0.5794521764556664
NF_78_out.png: uiqm=0.5845823669082357, uciqe=0.5079245170574201
NF_7_out.png: uiqm=0.15585147949111733, uciqe=0.42693139079710474
NF_81_out.png: uiqm=-0.18436554311523945, uciqe=0.5521200707169904
NF_85_out.png: uiqm=0.912866311192075, uciqe=0.5208846679903061
NF_8_out.png: uiqm=-0.0827177358522242, uciqe=0.4179504393424295
NF_94_out.png: uiqm=0.8282446661823472, uciqe=0.46160798747453213
NF_95_out.png: uiqm=1.4258887875266983, uciqe=0.43940268529166415

Average: uiqm=0.3350446390753212, uciqe=0.5293545417165557

