NF_32_out.png: NIQE=56.66477310614687  with dealing time: 72.56059169769287
NF_363_out.png: NIQE=48.8360416493275  with dealing time: 57.09668469429016
NF_364_out.png: NIQE=44.67864645925672  with dealing time: 54.57357835769653
NF_387_out.png: NIQE=43.320460956754395  with dealing time: 57.14754104614258
NF_410_out.png: NIQE=48.50463358861589  with dealing time: 57.11317229270935
NF_417_out.png: NIQE=57.440252787872936  with dealing time: 57.35519528388977
NF_466_out.png: NIQE=50.48260254082587  with dealing time: 59.04761004447937
NF_470_out.png: NIQE=42.41342017601655  with dealing time: 59.75421094894409
NF_507_out.png: NIQE=53.241041745684846  with dealing time: 59.88149976730347
NF_512_out.png: NIQE=45.79408598203713  with dealing time: 58.86823225021362
NF_518_out.png: NIQE=39.578860155096436  with dealing time: 58.55430841445923
NF_52_out.png: NIQE=54.320109726831625  with dealing time: 57.45692586898804
NF_56_out.png: NIQE=43.86012991404167  with dealing time: 54.84151649475098
NF_57_out.png: NIQE=44.568559989313734  with dealing time: 55.33793020248413
NF_60_out.png: NIQE=43.686052280563466  with dealing time: 58.35617733001709
NF_69_out.png: NIQE=42.90288457640869  with dealing time: 61.46563482284546
NF_70_out.png: NIQE=42.806900780481946  with dealing time: 60.18050169944763
NF_75_out.png: NIQE=42.244412586666954  with dealing time: 57.27470326423645
NF_78_out.png: NIQE=46.83128897892757  with dealing time: 56.69110727310181
NF_7_out.png: NIQE=54.2849815635682  with dealing time: 57.816468477249146
NF_81_out.png: NIQE=42.69310955641733  with dealing time: 60.28548836708069
NF_85_out.png: NIQE=40.12241952785957  with dealing time: 56.64373540878296
NF_8_out.png: NIQE=55.193579848988705  with dealing time: 59.28432893753052
NF_94_out.png: NIQE=39.809372608014996  with dealing time: 54.98751091957092
NF_95_out.png: NIQE=40.537943729378085  with dealing time: 53.259344816207886

110 Image Average: NIQE=47.24798800909914, TimePerImage=65.40061668916182, SumTime = 7194.0678358078s

