181_out.jpg: NIQE=42.29549531147605  with dealing time: 58.01591515541077
182_out.jpg: NIQE=42.00933905895091  with dealing time: 58.847615003585815
183_out.jpg: NIQE=46.37709883397123  with dealing time: 57.86959791183472
18_out.jpg: NIQE=54.92623934248148  with dealing time: 57.60044884681702
19_out.jpg: NIQE=49.45815271601504  with dealing time: 57.36760497093201
1_out.jpg: NIQE=46.49295775794193  with dealing time: 57.78200602531433
20_out.jpg: NIQE=48.47094095881017  with dealing time: 56.80403804779053
21_out.jpg: NIQE=45.89383672508716  with dealing time: 57.50575613975525
22_out.jpg: NIQE=55.01026777457245  with dealing time: 58.08933973312378
23_out.jpg: NIQE=53.15156911444367  with dealing time: 58.79481482505798
24_out.jpg: NIQE=52.60313437031217  with dealing time: 59.050742864608765
25_out.jpg: NIQE=43.81509615006684  with dealing time: 58.845706939697266
26_out.jpg: NIQE=54.00770495143114  with dealing time: 59.9000346660614
27_out.jpg: NIQE=52.05405948411061  with dealing time: 58.05324649810791
28_out.jpg: NIQE=47.083195798721434  with dealing time: 58.64508008956909
29_out.jpg: NIQE=52.29558306216372  with dealing time: 57.094964027404785
2_out.jpg: NIQE=51.26921113447732  with dealing time: 56.87613582611084
30_out.jpg: NIQE=68.6523183729257  with dealing time: 59.746793031692505
31_out.jpg: NIQE=56.01716878368996  with dealing time: 56.6136519908905
32_out.jpg: NIQE=70.19011716566509  with dealing time: 48.74517273902893
33_out.jpg: NIQE=38.56125711281635  with dealing time: 46.44673490524292
34_out.jpg: NIQE=40.10822979624501  with dealing time: 45.644181966781616
35_out.jpg: NIQE=46.27688090231732  with dealing time: 44.468343019485474
36_out.jpg: NIQE=45.91488189149397  with dealing time: 45.036481618881226
37_out.jpg: NIQE=45.2062539697692  with dealing time: 44.835171699523926
38_out.jpg: NIQE=42.878712430093515  with dealing time: 46.696775674819946
39_out.jpg: NIQE=45.30994386554135  with dealing time: 48.998337507247925
3_out.jpg: NIQE=54.63123659289364  with dealing time: 46.57478976249695
40_out.jpg: NIQE=45.801162737612316  with dealing time: 46.70023441314697
41_out.jpg: NIQE=46.426369256059864  with dealing time: 46.368741512298584
42_out.jpg: NIQE=49.21364865088374  with dealing time: 45.61689734458923
