104_img_: PSNR=12.283307153947742 SSIM=0.7006436301398897 UIQM=0.9369119654384299 UCIQE=0.5955587724495819
10_img_: PSNR=8.930903872611621 SSIM=0.02334120489320527 UIQM=0.7724562050853907 UCIQE=0.7567097265745654
111_img_: PSNR=8.817658223405315 SSIM=0.25920098411833553 UIQM=0.9426212558843825 UCIQE=0.48536128338698803
112_img_: PSNR=10.494383800965538 SSIM=0.5784878158326824 UIQM=1.3426564161457226 UCIQE=0.5578925497074501
11_img_: PSNR=14.538415135937468 SSIM=0.6013019829659397 UIQM=0.7625740816519552 UCIQE=0.6716845881255183
13_img_: PSNR=15.414731227963337 SSIM=0.7396047605907488 UIQM=1.2696070734055065 UCIQE=0.6962556405050045
14_img_: PSNR=18.64601342813508 SSIM=0.7800011045626428 UIQM=0.8487896727668072 UCIQE=0.7173049327137186
15003: PSNR=11.814012310178263 SSIM=0.5740670497547945 UIQM=0.37348707018831784 UCIQE=0.495372613529614
150_img_: PSNR=8.225915916372301 SSIM=0.4425378023678861 UIQM=1.4403294248327403 UCIQE=0.6079839169158203
15544: PSNR=9.270961314255302 SSIM=0.2946786853503299 UIQM=0.3633512447748375 UCIQE=0.5077341655823887
15_img_: PSNR=12.274096056247972 SSIM=0.7432735449598092 UIQM=1.757244914959546 UCIQE=0.7218100637424695
169_img_: PSNR=9.702991155592583 SSIM=0.21145785512300513 UIQM=1.8396772579291776 UCIQE=0.5821278436536326
16_img_: PSNR=12.141513015948053 SSIM=0.36885741969130464 UIQM=1.1983442760041911 UCIQE=0.6031890604099048
17_img_: PSNR=11.88043286493823 SSIM=0.6402367255618018 UIQM=1.599561678391019 UCIQE=0.7049811267223244
18_img_: PSNR=8.10145559161638 SSIM=0.010808612868544386 UIQM=0.8671538028760655 UCIQE=0.5885066222854771
19_img_: PSNR=12.20878863272208 SSIM=0.3611854460606703 UIQM=1.6304578736606785 UCIQE=0.6869855622627971
20: PSNR=11.595167911929408 SSIM=0.5022297432166727 UIQM=1.5764359393180962 UCIQE=0.7021056951931801
22_img_: PSNR=11.529346206110676 SSIM=0.32724828757950314 UIQM=1.2219098356004787 UCIQE=0.6446873776596325
23_img_: PSNR=11.050314786609794 SSIM=0.48057557708431864 UIQM=1.3916418476427195 UCIQE=0.668886757595873
24_img_: PSNR=10.206571810841842 SSIM=0.5263474947424674 UIQM=1.2459065063782657 UCIQE=0.6314362252322306
282_img_: PSNR=11.62703428246661 SSIM=0.05500799371538855 UIQM=1.1749968850498562 UCIQE=0.6779276658649427
284_img_: PSNR=18.06357511460058 SSIM=0.7053736405050585 UIQM=1.0971190120644037 UCIQE=0.7143375423205501
288_img_: PSNR=15.297175165508769 SSIM=0.5809334502366094 UIQM=1.0992530244391547 UCIQE=0.6906713436100036
290_img_: PSNR=15.532707361940217 SSIM=0.700014519207853 UIQM=1.2924667546364579 UCIQE=0.6720773211860089
292_img_: PSNR=19.330436523103142 SSIM=0.836745202516974 UIQM=0.7485722704871657 UCIQE=0.6723018592434982
293_img_: PSNR=13.689295671269505 SSIM=0.446490326520424 UIQM=0.9831647277473266 UCIQE=0.6851877010838842
294_img_: PSNR=20.8554629920974 SSIM=0.9357631676249223 UIQM=1.2496848638106217 UCIQE=0.6032947795428987
295_img_: PSNR=17.08521020828979 SSIM=0.6371699824042913 UIQM=1.5411570300442037 UCIQE=0.7130493475076937
299_img_: PSNR=14.842249283061776 SSIM=0.6358832640229147 UIQM=0.33951753271887053 UCIQE=0.6644301587399581
2_img_: PSNR=17.058979548603904 SSIM=0.7380856932555181 UIQM=1.2837211504071604 UCIQE=0.7094768883483001
300_img_: PSNR=15.6945252621308 SSIM=0.6363427157808413 UIQM=1.0527835365855982 UCIQE=0.6555802274548157
301_img_: PSNR=13.73426834140648 SSIM=0.49108465054839867 UIQM=0.8600719171260168 UCIQE=0.6647415974801644
302_img_: PSNR=10.988951077475061 SSIM=0.4466731740901242 UIQM=0.9292989249367495 UCIQE=0.7416694514943345
303_img_: PSNR=15.213133208678808 SSIM=0.7600389990078477 UIQM=0.9310067576341833 UCIQE=0.6399708051890447
304_img_: PSNR=12.650239511507245 SSIM=0.4450683075254304 UIQM=1.3874360793943845 UCIQE=0.5997757054334765
305_img_: PSNR=19.361908263036923 SSIM=0.8453791664558902 UIQM=1.2194116191924858 UCIQE=0.7042044701052433
306_img_: PSNR=10.627095718467018 SSIM=0.13783615150560366 UIQM=0.9494488735194947 UCIQE=0.6230756670465888
307_img_: PSNR=19.700291866723035 SSIM=0.4591509963803106 UIQM=1.0348175954316252 UCIQE=0.58791787772304
30_img_: PSNR=11.499384841934157 SSIM=0.44172718059024885 UIQM=1.6072330762147877 UCIQE=0.7061858191502303
311_img_: PSNR=13.155330902162428 SSIM=0.7845900870095451 UIQM=1.0920018215529557 UCIQE=0.5976905188192431
312_img_: PSNR=15.292911885812533 SSIM=0.5249546528342718 UIQM=1.2836163520937554 UCIQE=0.6861361994149023
313_img_: PSNR=13.607840412165224 SSIM=0.5235166629815152 UIQM=1.2938071491850898 UCIQE=0.6929445471680497
314_img_: PSNR=14.1424187742971 SSIM=0.5259645159674025 UIQM=0.6007850425827497 UCIQE=0.5897823567147609
315_img_: PSNR=11.71721687699103 SSIM=0.40580976799466223 UIQM=1.4691944289286571 UCIQE=0.7258593401086654
316_img_: PSNR=15.357335488474611 SSIM=0.5517592079994634 UIQM=1.278475598454269 UCIQE=0.6873897273184065
317_img_: PSNR=16.33030950495353 SSIM=0.6534898151735623 UIQM=1.1904312166439892 UCIQE=0.6938156375670963
318_img_: PSNR=14.797631868486787 SSIM=0.473647521979522 UIQM=1.0228209992701354 UCIQE=0.722330063419702
319_img_: PSNR=12.437630569407219 SSIM=0.5247416376367223 UIQM=1.0185104728061916 UCIQE=0.7716967314507701
320_img_: PSNR=19.515923500058005 SSIM=0.826382435123708 UIQM=1.518400662258283 UCIQE=0.709486421237889
322_img_: PSNR=11.387200857065169 SSIM=0.5727779565447292 UIQM=1.3786566560869606 UCIQE=0.7297885766023429
323_img_: PSNR=17.92572510867361 SSIM=0.6371144046914862 UIQM=1.2403221111808742 UCIQE=0.7263604479471464
324_img_: PSNR=17.34512198423027 SSIM=0.6349976926666019 UIQM=0.9502359135165561 UCIQE=0.7170668825644773
325_img_: PSNR=11.79684523288131 SSIM=0.6289190836514316 UIQM=0.9819846422606121 UCIQE=0.6986525942889898
326_img_: PSNR=12.260265601647385 SSIM=0.6779299487575863 UIQM=1.027659833509343 UCIQE=0.7161217582645903
327_img_: PSNR=13.420026680234812 SSIM=0.608932720152143 UIQM=0.7764675950737338 UCIQE=0.6845052150263184
330_img_: PSNR=13.04007449215957 SSIM=0.6943393707679205 UIQM=0.6988825862678867 UCIQE=0.598806845139761
332_img_: PSNR=15.678224791462622 SSIM=0.6740831729767411 UIQM=0.836367850128524 UCIQE=0.7000579281632864
334_img_: PSNR=15.336664181552031 SSIM=0.5780638120844003 UIQM=1.5820873038988492 UCIQE=0.7395322763700991
336_img_: PSNR=14.075798163271463 SSIM=0.6130254880822539 UIQM=0.9042174083535008 UCIQE=0.7242508111453217
337_img_: PSNR=14.25087233684291 SSIM=0.608781780260651 UIQM=1.0667561632334077 UCIQE=0.7507470632235743
338_img_: PSNR=14.070445051903132 SSIM=0.5392921404123125 UIQM=0.7722267645135406 UCIQE=0.7304541877336213
340_img_: PSNR=15.525486770029344 SSIM=0.671506272544345 UIQM=0.29741729133669736 UCIQE=0.692433725780651
341_img_: PSNR=14.062136287941524 SSIM=0.5767064981345571 UIQM=0.44189689936992216 UCIQE=0.6706050432896274
342_img_: PSNR=11.524543938778315 SSIM=0.31229094070472496 UIQM=0.7585033399345383 UCIQE=0.7294804689463878
343_img_: PSNR=18.300618803747373 SSIM=0.5079397640231845 UIQM=1.437829463657594 UCIQE=0.6195771863314019
346_img_: PSNR=20.752300758576006 SSIM=0.7820288661631686 UIQM=1.4439275195975094 UCIQE=0.7016884329775543
347_img_: PSNR=15.533744393245883 SSIM=0.7065653558402529 UIQM=0.9226848738580915 UCIQE=0.6688092043940832
348_img_: PSNR=10.889791782448594 SSIM=0.506051345727446 UIQM=0.514521490405678 UCIQE=0.6243882259589677
350_img_: PSNR=15.466803649182204 SSIM=0.4819965786100755 UIQM=1.328333955688032 UCIQE=0.6937465860998256
351_img_: PSNR=12.182667287612137 SSIM=0.6199789210868021 UIQM=1.27031627077811 UCIQE=0.7417908968767797
353_img_: PSNR=12.624186681534011 SSIM=0.4865499396159156 UIQM=1.3338545476028294 UCIQE=0.6799324246387929
355_img_: PSNR=16.258750950969866 SSIM=0.36153377254919 UIQM=0.7298513570602287 UCIQE=0.6887417659803661
356_img_: PSNR=13.487152355869696 SSIM=0.6868678992118308 UIQM=0.9890538908432185 UCIQE=0.7390267943526245
359_img_: PSNR=15.238530075753815 SSIM=0.7330356046847762 UIQM=1.321120805969254 UCIQE=0.774470618084143
360_img_: PSNR=14.238468364512208 SSIM=0.645626630048726 UIQM=0.06739589589779205 UCIQE=0.5673948093996979
361_img_: PSNR=12.375455682923224 SSIM=0.33056300210103085 UIQM=0.7805994365085293 UCIQE=0.673335534767129
362_img_: PSNR=12.303341313095913 SSIM=0.5958576402391862 UIQM=0.6298451004674238 UCIQE=0.7240425805324907
363_img_: PSNR=15.525257214310786 SSIM=0.534081205862952 UIQM=0.33908911891690985 UCIQE=0.6832142246633526
364_img_: PSNR=11.740124197500245 SSIM=0.5587071696806296 UIQM=0.4293207829641624 UCIQE=0.579343163200109
366_img_: PSNR=13.342731281594693 SSIM=0.6989177607343577 UIQM=1.4191041245605982 UCIQE=0.7330520954069634
367_img_: PSNR=14.005507879229011 SSIM=0.633958362724514 UIQM=0.8708377575719215 UCIQE=0.7451611941712075
3_img_: PSNR=14.83882676485496 SSIM=0.5001665214134617 UIQM=1.2506594597386052 UCIQE=0.6768816819008198
4: PSNR=14.827189610387405 SSIM=0.6841335805758628 UIQM=0.6218166303466153 UCIQE=0.6494274500074413
406_img_: PSNR=15.626847864191799 SSIM=0.5621353508431262 UIQM=0.6192649396721079 UCIQE=0.6796209723436074
419_img_: PSNR=16.325350021567633 SSIM=0.8360896962047096 UIQM=0.28090811253144354 UCIQE=0.674531239056906
41_img_: PSNR=10.813432232760237 SSIM=0.17576149960176587 UIQM=1.4184525393975531 UCIQE=0.6279696755783377
421_img_: PSNR=16.787409635209322 SSIM=0.595500971383094 UIQM=0.7625329927548944 UCIQE=0.718081529409335
460_img_: PSNR=14.915151304066693 SSIM=0.5832508808728424 UIQM=0.7933754177057464 UCIQE=0.6627761480891177
466_img_: PSNR=14.255224627532963 SSIM=0.7576318227421052 UIQM=1.5615326106280853 UCIQE=0.7299497956234914
471_img_: PSNR=9.468464481991731 SSIM=0.10047770383240648 UIQM=0.6193067890799893 UCIQE=0.4676770912833106
472_img_: PSNR=13.682460804518975 SSIM=0.26367037652917896 UIQM=1.1089748378171835 UCIQE=0.5520593691438396
476_img_: PSNR=15.760244117676326 SSIM=0.16693350329000828 UIQM=0.7086737169256654 UCIQE=0.5488814832886223
48_img_: PSNR=21.67011537015153 SSIM=0.6795278067148217 UIQM=0.9550069873641668 UCIQE=0.6567435814936176
495_img_: PSNR=13.669160437002432 SSIM=0.5472365180075888 UIQM=0.698122536232196 UCIQE=0.5543733240030395
4_img_: PSNR=10.488913392499589 SSIM=0.4355012776588552 UIQM=1.6646086679723582 UCIQE=0.6624579426566586
550_img_: PSNR=13.327574061774389 SSIM=0.5844540512585856 UIQM=0.9947214034611452 UCIQE=0.6724744273940266
557: PSNR=19.882148956532376 SSIM=0.7328506571935176 UIQM=1.0936119871855259 UCIQE=0.6469188207086232
55_img_: PSNR=11.968309231855523 SSIM=0.5144422042557864 UIQM=1.3820886087515718 UCIQE=0.6022375525722823
61_img_: PSNR=13.381510818105065 SSIM=0.6549090784952835 UIQM=0.8947485868203323 UCIQE=0.7344547940927609
629_img_: PSNR=9.28297949619426 SSIM=0.4953799673026125 UIQM=0.9864764634529236 UCIQE=0.5275333408330956
70_img_: PSNR=12.385622106669747 SSIM=0.2807981795789276 UIQM=1.2875724847596286 UCIQE=0.5683472229369804
