NF_32_out.png: uiqm=0.11758514877234139, uciqe=0.5591864539006997
NF_363_out.png: uiqm=-0.15325227872823866, uciqe=0.40307674159918094
NF_364_out.png: uiqm=-0.09178844159868815, uciqe=0.4972360307468744
NF_387_out.png: uiqm=0.0870397495504382, uciqe=0.48924987051301205
NF_410_out.png: uiqm=0.3779411179771153, uciqe=0.47613187464777307
NF_417_out.png: uiqm=-0.2768580491083437, uciqe=0.43007163482616495
NF_466_out.png: uiqm=0.02520324686555475, uciqe=0.5043917329896047
NF_470_out.png: uiqm=0.4513756471517739, uciqe=0.5838179185200763
NF_507_out.png: uiqm=-0.021588645790657723, uciqe=0.5299331148140505
NF_512_out.png: uiqm=0.337340264309429, uciqe=0.4849859843708083
NF_518_out.png: uiqm=0.7109217302069668, uciqe=0.5898313057261623
NF_52_out.png: uiqm=0.1849791950786388, uciqe=0.48304934212348494
NF_56_out.png: uiqm=0.37267282867355706, uciqe=0.5321042571829275
NF_57_out.png: uiqm=0.17669076922335936, uciqe=0.528039164567243
NF_60_out.png: uiqm=0.04128738190909609, uciqe=0.5323948983387388
NF_69_out.png: uiqm=0.5830794266838709, uciqe=0.6808284190949795
NF_70_out.png: uiqm=0.5240928090472986, uciqe=0.7177257552293157
NF_75_out.png: uiqm=0.4324237218815459, uciqe=0.5821709981691989
NF_78_out.png: uiqm=0.8120782364523114, uciqe=0.5182354479553637
NF_7_out.png: uiqm=0.2375105153831953, uciqe=0.39817001187679524
NF_81_out.png: uiqm=-0.030037475189292506, uciqe=0.5408424579667077
NF_85_out.png: uiqm=0.9553211299550126, uciqe=0.539086388650235
NF_8_out.png: uiqm=-0.021032119316759745, uciqe=0.4166388511387822
NF_94_out.png: uiqm=0.6492226894206838, uciqe=0.6400248688316633
NF_95_out.png: uiqm=0.7995907850557926, uciqe=0.44463832611434884

Average: uiqm=0.42430951900713026, uciqe=0.539560297132969

