1.png: NIQE=52.99398956805633  with dealing time: 56.60142540931702
10.png: NIQE=43.4899520620821  with dealing time: 46.947550535202026
11.png: NIQE=52.748630261410256  with dealing time: 54.76720905303955
12.png: NIQE=41.115831087300684  with dealing time: 46.61722469329834
13.png: NIQE=35.497016737378566  with dealing time: 51.13668465614319
14.png: NIQE=53.61531741664613  with dealing time: 52.92797303199768
15.png: NIQE=38.86483947275784  with dealing time: 46.879958391189575
16.png: NIQE=38.03144937266624  with dealing time: 47.45276737213135
17.png: NIQE=39.951499815142675  with dealing time: 48.745205879211426
18.png: NIQE=41.504877426399865  with dealing time: 51.13514018058777
19.png: NIQE=40.91602118002225  with dealing time: 53.209044218063354
2.png: NIQE=56.36123642804314  with dealing time: 52.943925857543945
20.png: NIQE=40.48968929699117  with dealing time: 48.987815141677856
21.png: NIQE=35.011619250152634  with dealing time: 48.7910053730011
22.png: NIQE=44.949610686005926  with dealing time: 53.98667883872986
23.png: NIQE=42.299539882105755  with dealing time: 48.97024464607239
24.png: NIQE=43.25630733667636  with dealing time: 48.64874076843262
25.png: NIQE=44.93262415169956  with dealing time: 49.185681104660034
26.png: NIQE=44.13837577191214  with dealing time: 50.069395542144775
27.png: NIQE=40.0982477463731  with dealing time: 49.946486949920654
28.png: NIQE=40.19539836044989  with dealing time: 48.96282362937927
29.png: NIQE=48.358039216347855  with dealing time: 45.31036448478699
3.png: NIQE=52.34342802683103  with dealing time: 47.10182595252991
30.png: NIQE=48.35774519631287  with dealing time: 48.91829800605774
31.png: NIQE=43.29473086335344  with dealing time: 46.979928493499756
32.png: NIQE=39.67033324848717  with dealing time: 47.52990460395813
33.png: NIQE=39.58050509159217  with dealing time: 44.767929792404175
34.png: NIQE=39.928244386519886  with dealing time: 46.524176597595215
35.png: NIQE=41.80346753821747  with dealing time: 47.43520259857178
36.png: NIQE=41.88964371824804  with dealing time: 46.379456996917725
37.png: NIQE=37.11300340585263  with dealing time: 46.88364839553833
38.png: NIQE=33.92302383415022  with dealing time: 50.762027978897095
39.png: NIQE=39.659031240438765  with dealing time: 50.612526655197144
4.png: NIQE=51.26325225112358  with dealing time: 50.68843340873718
40.png: NIQE=37.52073076312058  with dealing time: 47.542012214660645
41.png: NIQE=38.15980506478076  with dealing time: 46.895204305648804
42.png: NIQE=39.69964628216552  with dealing time: 48.47297811508179
43.png: NIQE=38.070616926369844  with dealing time: 48.07264733314514
44.png: NIQE=39.77543083300937  with dealing time: 47.508705139160156
45.png: NIQE=38.77915001342519  with dealing time: 46.75525379180908
5.png: NIQE=37.39295309877095  with dealing time: 48.090534925460815
6.png: NIQE=43.47287790700381  with dealing time: 48.541367292404175
7.png: NIQE=42.63281021161076  with dealing time: 46.26427507400513
8.png: NIQE=53.7509820477053  with dealing time: 53.32430362701416
9.png: NIQE=40.635743424130375  with dealing time: 48.82376790046692

45 Image Average: NIQE=42.61193928666311, TimePerImage=49.04661677678426, SumTime = 2207.0977549552917s

