476_img_.png: NIQE=49.25846283266786  with dealing time: 62.00706934928894
48_img_.png: NIQE=34.52007042056284  with dealing time: 70.43727684020996
495_img_.png: NIQE=55.626957904550196  with dealing time: 59.38685584068298
4_img_.png: NIQE=36.025244309220575  with dealing time: 60.83028960227966
550_img_.png: NIQE=40.39112241278422  with dealing time: 61.88378953933716
557.png: NIQE=38.320823342129536  with dealing time: 57.81202530860901
55_img_.png: NIQE=39.06181109056279  with dealing time: 59.231895208358765
61_img_.png: NIQE=33.163189173374874  with dealing time: 65.73849153518677
629_img_.png: NIQE=42.60968849481065  with dealing time: 57.25869107246399
70_img_.png: NIQE=36.86581880469614  with dealing time: 64.0219042301178
747_img_.png: NIQE=43.24314244879886  with dealing time: 63.09721302986145
7_img_.png: NIQE=36.99317537060095  with dealing time: 66.87882471084595
849_img_.png: NIQE=34.1101301714793  with dealing time: 63.85216546058655
856_img_.png: NIQE=38.99896911954824  with dealing time: 62.499269247055054
8_img_.png: NIQE=47.8557708289889  with dealing time: 58.79163312911987
901_img_.png: NIQE=61.73313091282501  with dealing time: 61.460001945495605
906_img_.png: NIQE=44.14854997635235  with dealing time: 68.38579964637756
97_img_.png: NIQE=37.75026470035308  with dealing time: 73.02197766304016
9_img_.png: NIQE=38.62779677295018  with dealing time: 75.60068893432617

110 Image Average: NIQE=43.709032652176276, TimePerImage=77.07557499191978, SumTime = 8478.313249111176s

