C_690.jpg: NIQE=34.97990441072163  with dealing time: 63.34297800064087
C_726.jpg: NIQE=49.92298046727263  with dealing time: 68.11948466300964
D_026.jpg: NIQE=45.25614257018526  with dealing time: 59.19164252281189
D_053.jpg: NIQE=52.22904261117087  with dealing time: 61.46510148048401
D_088.jpg: NIQE=48.603519597745084  with dealing time: 69.4215989112854
D_110.jpg: NIQE=40.66941804471259  with dealing time: 67.49198174476624
D_151.jpg: NIQE=42.31728591032327  with dealing time: 69.87015318870544
D_159.jpg: NIQE=43.363983303804325  with dealing time: 56.668174743652344
D_187.jpg: NIQE=50.24739976393538  with dealing time: 55.825958013534546
D_208.jpg: NIQE=44.74025914064493  with dealing time: 55.79821443557739
D_249.jpg: NIQE=51.06201635608848  with dealing time: 56.413740158081055
D_263.jpg: NIQE=41.47123808419237  with dealing time: 51.455796003341675
D_285.jpg: NIQE=40.093573015408545  with dealing time: 62.293638467788696
D_306.jpg: NIQE=34.87288216880935  with dealing time: 69.58941793441772
D_347.jpg: NIQE=37.49033654579082  with dealing time: 62.442596197128296
D_361.jpg: NIQE=34.84344225745578  with dealing time: 65.64387345314026
D_383.jpg: NIQE=47.59663558397563  with dealing time: 64.06702017784119
D_404.jpg: NIQE=52.32939889971142  with dealing time: 73.05534076690674
D_445.jpg: NIQE=41.81135605962171  with dealing time: 66.94669818878174
D_459.jpg: NIQE=35.93547162997068  with dealing time: 60.01755976676941
D_494.jpg: NIQE=46.59392178530101  with dealing time: 60.437525033950806
D_502.jpg: NIQE=33.09416940455637  with dealing time: 60.76145029067993
D_551.jpg: NIQE=40.724314239676346  with dealing time: 58.95439147949219
D_557.jpg: NIQE=48.13936990063785  with dealing time: 73.35361862182617
D_592.jpg: NIQE=81.17587601790993  with dealing time: 61.14428448677063
D_606.jpg: NIQE=58.10951472260703  with dealing time: 62.49491810798645
D_628.jpg: NIQE=40.20421516021444  with dealing time: 45.75551438331604
D_649.jpg: NIQE=47.19957839429053  with dealing time: 44.83794927597046
D_663.jpg: NIQE=47.86869474008734  with dealing time: 44.71372580528259
D_690.jpg: NIQE=45.757648905469985  with dealing time: 44.08941411972046
D_704.jpg: NIQE=46.42006370991263  with dealing time: 48.77993059158325
D_726.jpg: NIQE=49.658748063462866  with dealing time: 49.68425464630127
E_012.jpg: NIQE=44.31951502513721  with dealing time: 48.440221309661865
E_026.jpg: NIQE=66.3957408997421  with dealing time: 46.93262720108032
E_053.jpg: NIQE=32.92992906958798  with dealing time: 43.782418727874756
E_088.jpg: NIQE=52.43536504905425  with dealing time: 48.63106822967529
E_110.jpg: NIQE=44.028070755532156  with dealing time: 52.06689524650574
E_151.jpg: NIQE=39.48751568270267  with dealing time: 48.35214328765869
E_159.jpg: NIQE=40.98662354665262  with dealing time: 47.26680326461792
E_187.jpg: NIQE=34.44115979739023  with dealing time: 46.77648448944092
E_208.jpg: NIQE=42.609858665339814  with dealing time: 51.623281717300415
E_249.jpg: NIQE=53.03555506106244  with dealing time: 48.019246339797974
E_263.jpg: NIQE=30.08276866966574  with dealing time: 45.631019592285156
E_285.jpg: NIQE=44.02588024470872  with dealing time: 50.85926604270935
E_306.jpg: NIQE=47.00397083134772  with dealing time: 53.02270555496216
E_347.jpg: NIQE=37.89952497286141  with dealing time: 43.73837375640869
E_361.jpg: NIQE=42.760695551334926  with dealing time: 45.94692254066467
E_383.jpg: NIQE=42.42275034584016  with dealing time: 44.96337056159973
E_404.jpg: NIQE=48.46613280056193  with dealing time: 43.231966972351074
E_445.jpg: NIQE=51.465168659401705  with dealing time: 44.446951150894165
E_459.jpg: NIQE=39.86110270412172  with dealing time: 46.603633642196655
E_494.jpg: NIQE=57.52335805898911  with dealing time: 45.879557847976685
E_502.jpg: NIQE=45.205959450010795  with dealing time: 43.54287910461426
